"second_name","first_name","title","phone","fax","postal","address_type","party","state","electorate","address1","suburb","state","pcode","fax","phone","tollfree","postal","address_type","job"
"Burke","Anna","Ms","(02) 6277 4127","(02) 6277 8528",0,3,"ALP","Vic","Chisholm","PO Box 3042","Syndal","Vic",3149,"(03) 9802 0588","(03) 9802 0566",,1,1,"Deputy Speaker"
"Burke","Tony","Mr","(02) 6277 7640","(02) 6273 6101",0,3,"ALP","NSW","Watson","PO Box 156","Roselands","NSW",2196,"(02) 9750 9288","(02) 9750 9088",,1,1,"Minister for Sustainability, Environment, Water, Population and Communities"
"Butler","Mark","Mr","(02) 6277 7280","(02) 6273 4138",0,3,"ALP","SA","Port Adelaide","PO Box 2038","Port Adelaide","SA",5015,"(08) 8242 0744","(08) 8242 0733",,1,1,"Minister for Mental Health and Ageing, Minister for Social Inclusion, Minister Assisting the Prime Minister on Mental Health Reform"
"Byrne","Anthony","Mr","(02) 6277 4309","(02) 6277 8473",0,3,"ALP","Vic","Holt","Shop HM 2B, 8-10 Overland Drive","Fountain Gate","Vic",3805,"(03) 9796 7088","(03) 9796 7533",,1,1,
"Champion","Nick","Mr","(02) 6277 4451","(02) 6277 8511",0,3,"ALP","SA","Wakefield","PO Box 288","Smithfield","SA",5114,"(08) 8284 2433","(08) 8284 2422","1300 780 170",1,1,
"Cheeseman","Darren","Mr","(02) 6277 4702","(02) 6277 8524",0,3,"ALP","Vic","Corangamite","Shop 3A, 195 Colac Road","Waurn Ponds","Vic",3216,"(03) 5241 1863","(03) 5243 2400","1300 661 352",1,1,
"Chester","Darren","Mr","(02) 6277 4029","(02) 6277 8402",0,3,"Nats","Vic","Gippsland","PO Box 486","Sale","Vic",3850,"(03) 5144 3945","(03) 5144 6744",,1,1,
"Christensen","George","Mr","(02) 6277 4538","(02) 6277 8508",0,3,"Nats","Qld","Dawson","PO Box 1697","Mackay","Qld",4740,"(07) 4944 0575","(07) 4944 0662","1300 301 979",1,1,
"Ciobo","Steven","Mr","(02) 6277 2330","(02) 6277 8452",0,3,"LP","Qld","Moncrieff","PO Box 4922","Gold Coast Mail Centre","Qld",9726,"(07) 5504 6944","(07) 5504 6000",,1,1,
"Clare","Jason","Mr","(02) 6277 7290","(02) 6273 7098",0,3,"ALP","NSW","Blaxland","PO Box 153","Bankstown","NSW",1885,"(02) 9790 0770","(02) 9790 2466",,1,1,"Minister for Home Affairs, Minister for Justice"
"Cobb","John","Mr","(02) 6277 4721","(02) 6277 8543",0,3,"Nats","NSW","Calare","PO Box 673","Orange","NSW",2800,"(02) 6362 3480","(02) 6361 7138",,1,1,
"Collins","Julie","Ms","(02) 6277 7780","(02) 6273 7096",0,3,"ALP","Tas","Franklin","PO Box 38","Rosny Park","Tas",7018,"(03) 6244 1211","(03) 6244 1222",,1,1,"Minister for Community Services, Minister for Indigenous Employment and Economic Development, Minister for the Status of Women"
"Combet","Greg","Mr","(02) 6277 7920","(02) 6273 7330",0,3,"ALP","NSW","Charlton","PO Box 747","Cardiff","NSW",2285,"(02) 4954 2655","(02) 4954 2611",,1,1,"Minister for Climate Change and Energy Efficiency, Minister for Industry and Innovation"
"Coulton","Mark","Mr","(02) 6277 4607","(02) 6277 8504",0,3,"Nats","NSW","Parkes","Shop 3, 153 Brisbane Street","Dubbo","NSW",2830,"(02) 6882 9935","(02) 6882 0999",,1,1,"The Nationals Chief Whip"
"Crean","Simon","Mr","(02) 6277 7380","(02) 6273 4117",0,3,"ALP","Vic","Hotham","PO Box 5295","Clayton","Vic",3168,"(03) 9545 6299","(03) 9545 6211",,1,1,"Minister for Regional Australia, Regional Development and Local Government, Minister for the Arts"
"Crook","Tony","Mr","(02) 6277 4105","(02) 6277 8471",0,3,"NatsWA","WA","O'Connor","PO Box 10415","Kalgoorlie","WA",6433,"(08) 9021 1506","(08) 9021 1241","1300 772 061",1,1,
"Danby","Michael","Mr","(02) 6277 4520","(02) 6277 8480",0,3,"ALP","Vic","Melbourne Ports","PO Box 2086","St Kilda West","Vic",3182,"(03) 9534 1575","(03) 9534 8126",,1,1,
"D'Ath","Yvette","Mrs","(02) 6277 4501","(02) 6277 8442",0,3,"ALP","Qld","Petrie","PO Box 667","Aspley","Qld",4034,"(07) 3863 2889","(07) 3863 6888",,1,1,
"Dreyfus","Mark","Mr","(02) 6277 4305","(02) 6277 8484",0,3,"ALP","Vic","Isaacs","Shop No. 6, Parkmore Shopping Centre, Cheltenham Road","Keysborough","Vic",3173,"(03) 9769 1977","(03) 9769 1955",,1,1,"Cabinet Secretary, Parliamentary Secretary for Climate Change and Energy Efficiency, Parliamentary Secretary for Industry and Innnovation"
"Dutton","Peter","Mr","(02) 6277 4884","(02) 6277 8572",0,3,"LP","Qld","Dickson","PO Box 2012","Strathpine","Qld",4500,"(07) 3205 5111","(07) 3205 9977",,1,1,
"Elliot","Justine","Mrs","(02) 6277 4554","(02) 6277 8520",0,3,"ALP","NSW","Richmond","PO Box 6996","Tweed Heads South","NSW",2486,"(07) 5523 4379","(07) 5523 4371",,1,1,"Parliamentary Secretary for Trade"
"Ellis","Kate","Ms","(02) 6277 7630","(02) 6273 5188",0,3,"ALP","SA","Adelaide","161a Main North Road, Nailsworth",,"SA",5083,"(08) 8269 2488","(08) 8269 2433",,1,1,"Minister for Employment Participation, Minister for Early Childhood and Childcare"
"Emerson","Craig","Dr","(02) 6277 7420","(02) 6273 4128",0,3,"ALP","Qld","Rankin","PO Box 349","Woodridge","Qld",4114,"(07) 3208 8744","(07) 3299 5910",,1,1,"Minister for Trade"
"Entsch","Warren","Mr","(02) 6277 4088","(02) 6277 8468",0,3,"LP","Qld","Leichhardt","PO Box 14","Bungalow","Qld",4870,"(07) 4031 1592","(07) 4051 2220",,1,1,"Chief Opposition Whip"
"Ferguson","Laurie","Mr","(02) 6277 4920","(02) 6277 8507",0,3,"ALP","NSW","Werriwa","PO Box 191,","Ingleburn","NSW",1890,"(02) 9829 7499","(02) 9829 7477",,1,1,
"Ferguson","Martin","Mr","(02) 6277 7930","(02) 6273 0434",0,3,"ALP","Vic","Batman","159 High Street","Preston","Vic",3072,"(03) 9416 7810","(03) 9416 8690",,1,1,"Minister for Resources and Energy, Minister for Tourism"
"Fitzgibbon","Joel","Mr","(02) 6277 4083","(02) 6277 2309",0,3,"ALP","NSW","Hunter","PO Box 526","Cessnock","NSW",2325,"(02) 4991 2322","(02) 4991 1022",,1,1,"Chief Government Whip"
"Fletcher","Paul","Mr","(02) 6277 4240","(02) 6277 8457",0,3,"LP","NSW","Bradfield","Suite 8, 12 Tryon Road","Lindfield","NSW",2070,"(02) 9465 3999","(02) 9465 3950",,1,1,
"Forrest","John","Mr","(02) 6277 4550","(02) 6277 8532",0,3,"Nats","Vic","Mallee","PO Box 487","Swan Hill","Vic",3585,"(03) 5032 9407","(03) 5032 4510",,1,1,
"Frydenberg","Josh","Mr","(02) 6277 4606","(02) 6277 8546",0,3,"LP","Vic","Kooyong","695 Burke Road","Camberwell","Vic",3124,"(03) 9882 3773","(03) 9882 3677",,1,1,
"Gambaro","Teresa","Ms","(02) 6277 4331","(02) 6277 8515",0,3,"LP","Qld","Brisbane","PO Box 98","Grange","Qld",4051,,"(07) 3356 1555",,1,1,
"Garrett","Peter","Mr","(02) 6277 7350","(02) 6273 4134",0,3,"ALP","NSW","Kingsford Smith","PO Box 249","Maroubra","NSW",2035,"(02) 9349 8089","(02) 9349 6007",,1,1,"Minister for School Education, Early Childhood and Youth"
"Gash","Joanna","Mrs","(02) 6277 4357","(02) 6277 8475",0,3,"LP","NSW","Gilmore","PO Box 1009","Nowra","NSW",2541,"(02) 4423 1785","(02) 4423 1782",,1,1,
"Georganas","Steve","Mr","(02) 6277 4415","(02) 6277 8438",0,3,"ALP","SA","Hindmarsh","Shop 2, 670 ANZAC Highway","Glenelg","SA",5045,"(08) 8376 7888","(08) 8376 9000",,1,1,
"Gibbons","Steve","Mr","(02) 6277 2230","(02) 6277 8564",0,3,"ALP","Vic","Bendigo","PO Box 338","Bendigo","Vic",3550,"(03) 5443 9736","(03) 5443 9055",,1,1,
"Gillard","Julia","Ms","(02) 6277 7700","(02) 6273 4100",0,3,"ALP","Vic","Lalor","PO Locked Bag 14","Werribee","Vic",3030,"(03) 9741 6213","(03) 9742 5800",,1,1,"Prime Minister"
"Gray","Gary","Mr","(02) 6277 7600","(02) 6273 4541",0,3,"ALP","WA","Brand","1/15 Kent Street, Rockingham",,"WA",6168,"(08) 9592 1361","(08) 9527 9377",,1,1,"Special Minister of State, Minister for the Public Service and Integrity"
"Grierson","Sharon","Ms","(02) 6277 4221","(02) 6277 8461",0,3,"ALP","NSW","Newcastle","427 Hunter Street","Newcastle","NSW",2300,"(02) 4926 1895","(02) 4926 1555",,1,1,
"Griffin","Alan","Mr","(02) 6277 4303","(02) 6277 8499",0,3,"ALP","Vic","Bruce","PO Box 1034","Waverley Gardens","Vic",3170,"(03) 9547 7944","(03) 9547 1444",,1,1,
"Griggs","Natasha","Mrs","(02) 6277 2392","(02) 6277 8479",0,3,"CLP","NT","Solomon","PO Box 2163","Darwin","NT",801,"(08) 8981 8731","(08) 8981 3434",,1,1,
"Haase","Barry","Mr","(02) 6277 4154","(02) 6277 8576",0,3,"LP","WA","Durack","2B/209 Foreshore Drive","Geraldton","WA",6530,"(08) 9921 7990","(08) 9964 2195",,1,1,
"Hall","Jill","Ms","(02) 6277 4492","(02) 6277 8505",0,3,"ALP","NSW","Shortland","PO Box 499","Belmont","NSW",2280,"(02) 4947 9722","(02) 4947 9711",,1,1,"Government Whip"
"Hartsuyker","Luke","Mr","(02) 6277 4447","(02) 6277 8410",0,3,"Nats","NSW","Cowper","PO Box 2056","Coffs Harbour","NSW",2450,"(02) 6651 4346","(02) 6652 6233",,1,1,
"Hawke","Alex","Mr","(02) 6277 4430","(02) 6277 8522",0,3,"LP","NSW","Mitchell","PO Box 1173","Castle Hill","NSW",2154,"(02) 9899 7990","(02) 9899 7211",,1,1,
"Hayes","Chris","Mr","(02) 6277 4682","(02) 6277 8523",0,3,"ALP","NSW","Fowler","PO Box 205","Cabramatta","NSW",2166,"(02) 9727 2240","(02) 9726 3988",,1,1,
"Hockey","Joe","Mr","(02) 6277 4854","(02) 6277 8401",0,3,"LP","NSW","North Sydney","PO Box 1107","North Sydney","NSW",2059,"(02) 9929 9833","(02) 9929 9822",,1,1,
"Hunt","Greg","Mr","(02) 6277 2276","(02) 6277 8446",0,3,"LP","Vic","Flinders","PO Box 274","Hastings","Vic",3915,"(03) 5979 3034","(03) 5979 3188",,1,1,
"Husic","Ed","Mr","(02) 6277 4488","(02) 6277 8590",0,3,"ALP","NSW","Chifley","PO Box 259","Mt Druitt","NSW",2770,"(02) 9832 2641","(02) 9625 4344",,1,1,"Government Whip"
"Irons","Steve","Mr","(02) 6277 4337","(02) 6277 8494",0,3,"LP","WA","Swan","PO Box 1060","East Victoria Park","WA",6981,"(08) 9355 0199","(08) 9355 0099",,1,1,
"Jenkins","Harry","Mr","(02) 6277 4970","(02) 6277 8599",0,3,"ALP","Vic","Scullin","PO Box 167","Mill Park","Vic",3082,"(03) 9404 1725","(03) 9404 1911",,1,1,
"Jensen","Dennis","Dr","(02) 6277 4156","(02) 6277 8460",0,3,"LP","WA","Tangney","PO Box 329","Willetton","WA",6955,"(08) 9354 9233","(08) 9354 9633",,1,1,
"Jones","Ewen","Mr","(02) 6277 4693","(02) 6277 8551",0,3,"LP","Qld","Herbert","PO Box 226","Aitkenvale","Qld",4814,"(07) 4725 2088","(07) 4725 2066",,1,1,
"Jones","Stephen","Mr","(02) 6277 4661","(02) 6277 8548",0,3,"ALP","NSW","Throsby","PO Box 864","Dapto","NSW",2530,"(02) 4262 6155","(02) 4262 6122",,1,1,
"Katter","Bob","Mr","(02) 6277 4978","(02) 6277 8558",0,3,"AUS","Qld","Kennedy","PO Box 1638","Innisfail","Qld",4860,"(07) 4061 6566","(07) 4061 6066",,1,1,
"Keenan","Michael","Mr","(02) 6277 4223","(02) 6277 8490",0,3,"LP","WA","Stirling","PO Box 261","Osborne Park","WA",6917,"(08) 9440 3988","(08) 9440 3999",,1,1,
"Kelly","Craig","Mr","(02) 6277 4366","(02) 6277 8567",0,3,"LP","NSW","Hughes","PO Box 1014,","Sutherland","NSW",1499,"(02) 9545 0927","(02) 9521 6262",,1,1,
"Kelly","Mike","Dr","(02) 6277 4840","(02) 6277 8556",0,3,"ALP","NSW","Eden-Monaro","PO Box 214","Queanbeyan","NSW",2620,"(02) 6284 2250","(02) 6284 2211",,1,1,"Parliamentary Secretary for Defence"
"King","Catherine","Ms","(02) 6277 4230","(02) 6277 8428",0,3,"ALP","Vic","Ballarat","5 Lydiard Street North","Ballarat","Vic",3350,"(03) 5333 7710","(03) 5338 8123",,1,1,"Parliamentary Secretary for Infrastructure and Transport, Parliamentary Secretary for Health and Ageing"
"Laming","Andrew","Mr","(02) 6277 4258","(02) 6277 8503",0,3,"LP","Qld","Bowman","PO Box 8024","Cleveland","Qld",4163,"(07) 3821 3799","(07) 3821 0155",,1,1,
"Leigh","Andrew","Dr","(02) 6277 4140","(02) 6277 8469",0,3,"ALP","ACT","Fraser","Unit 8/1 Torrens St","Braddon","ACT",2612,"(02) 6247 3457","(02) 6247 4396 or 6247 4037",,1,1,
"Ley","Sussan","Ms","(02) 6277 4503","(02) 6277 8431",0,3,"LP","NSW","Farrer","PO Box 672","Albury","NSW",2640,"(02) 6021 6620","(02) 6021 3264","1300 303 203",1,1,
"Livermore","Kirsten","Ms","(02) 6277 4738","(02) 6277 8434",0,3,"ALP","Qld","Capricornia","PO Box 1919","Rockhampton","Qld",4700,"(07) 4922 6607","(07) 4922 6604","1300 301 943",1,1,
"Lyons","Geoff","Mr","(02) 6277 4735","(02) 6277 8577",0,3,"ALP","Tas","Bass","PO Box 5035","Launceston","Tas",7250,"(03) 6334 7055","(03) 6334 7033",,1,1,
"Macfarlane","Ian","Mr","(02) 6277 4433","(02) 6277 8492",0,3,"LP","Qld","Groom","PO Box 777","Toowoomba","Qld",4350,"(07) 4638 2147","(07) 4632 4144",,1,1,
"Macklin","Jenny","Ms","(02) 6277 7560","(02) 6273 4122",0,3,"ALP","Vic","Jagajaga","PO Box 316","Heidelberg","Vic",3084,"(03) 9457 5721","(03) 9459 1411",,1,1,"Minister for Families, Community Services and Indigenous Affairs, Minister for Disability Reform"
"Marino","Nola","Ms","(02) 6277 2318","(02) 6277 8450",0,3,"LP","WA","Forrest","Unit 3, 9 Cassowary Bend","Eaton","WA",6232,"(08) 9725 2444","(08) 9725 2300",,1,1,"Opposition Whip"
"Markus","Louise","Mrs","(02) 6277 2371","(02) 6277 8463",0,3,"LP","NSW","Macquarie","PO Box 855","Windsor","NSW",2756,"(02) 4577 2640","(02) 4577 2631",,1,1,
"Marles","Richard","Mr","(02) 6277 4330","(02) 6277 8488",0,3,"ALP","Vic","Corio","17A Yarra Street","Geelong","Vic",3220,"(03) 5222 4505","(03) 5221 3033",,1,1,"Parliamentary Secretary for Pacific Island Affairs"
"Matheson","Russell","Mr","(02) 6277 2035","(02) 6277 8486",0,3,"LP","NSW","Macarthur","PO Box 1065","Camden","NSW",2570,"(02) 4655 7690","(02) 4655 7600",,1,1,
"McClelland","Robert","Mr","(02) 6277 7667","(02) 6273 9395",0,3,"ALP","NSW","Barton","PO Box 32","Kogarah","NSW",2217,"(02) 9553 0855","(02) 9553 4111",,1,1,"Minister for Housing, Minister for Homelessness, Minister for Emergency Management"
"McCormack","Michael","Mr","(02) 6277 4725","(02) 6277 8563",0,3,"Nats","NSW","Riverina","Suite 2, 11-15 Fitzmaurice Street","Wagga Wagga","NSW",2650,"(02) 6921 5900","(02) 6921 4600",,1,1,
"Melham","Daryl","Mr","(02) 6277 2054","(02) 6277 4476",0,3,"ALP","NSW","Banks","PO Box 775","Revesby","NSW",2212,"(02) 9774 5461","(02) 9774 2111",,1,1,
"Mirabella","Sophie","Mrs","(02) 6277 2301","(02) 6277 8448",0,3,"LP","Vic","Indi","117 Murphy Street","Wangaratta","Vic",3677,"(03) 5721 8196","(03) 5721 5377",,1,1,
"Mitchell","Rob","Mr","(02) 6277 4117","(02) 6277 8443",0,3,"ALP","Vic","McEwen","Suite 4B, 61 High Street","Wallan","Vic",3756,"(03) 5783 4889","(03) 5783 4880, 1300 701 966",,1,1,
"Morrison","Scott","Mr","(02) 6277 2086","(02) 6277 8571",0,3,"LP","NSW","Cook","PO Box 1306","Cronulla","NSW",2230,"(02) 9523 8959","(02) 9523 0339",,1,1,
"Moylan","Judi","Mrs","(02) 6277 4171","(02) 6277 8400",0,3,"LP","WA","Pearce","PO Box 1005","Midland","WA",6936,"(08) 9294 2888","(08) 9294 3222",,1,1,
"Murphy","John","Mr","(02) 6277 4099","(02) 6277 8530",0,3,"ALP","NSW","Reid","PO Box 2028","Burwood","NSW",2134,"(02) 9745 2825","(02) 9745 4433",,1,1,
"Neumann","Shayne","Mr","(02) 6277 4755","(02) 6277 8533",0,3,"ALP","Qld","Blair","PO Box 5117","Brassall","Qld",4305,"(07) 3201 5311","(07) 3201 5300","1300 792 714",1,1,
"Neville","Paul","Mr","(02) 6277 4940","(02) 6277 8559",0,3,"Nats","Qld","Hinkler","PO Box 535","Bundaberg","Qld",4670,"(07) 4153 1752","(07) 4152 0744",,1,1,"The Nationals Deputy Whip"
"Oakeshott","Robert","Mr","(02) 6277 4052","(02) 6277 8403",0,3,"Ind.","NSW","Lyne","PO Box 1112","Port Macquarie","NSW",2444,"(02) 6584 2922","(02) 6584 2911",,1,1,
"O'Connor","Brendan","Mr","(02) 6277 7200","(02) 6273 4406",0,3,"ALP","Vic","Gorton","900A Old Calder Highway","Keilor","Vic",3036,"(03) 8361 6577","(03) 8361 6588",,1,1,"Minister for Human Services, Minister Assisting for School Education"
"O'Dowd","Ken","Mr","(02) 6277 4380","(02) 6277 8495",0,3,"Nats","Qld","Flynn","76 Goondoon Street","Gladstone","Qld",4680,"(07) 4972 0888","(07) 4972 5465",,1,1,
"O'Dwyer","Kelly","Ms","(02) 6277 4155","(02) 6277 8453",0,3,"LP","Vic","Higgins","Suite 1, 1343 Malvern Road","Malvern","Vic",3144,"(03) 9822 0319","(03) 9822 4422",,1,1,
"O'Neill","Deb","Ms","(02) 6277 4070","(02) 6277 8593",0,3,"ALP","NSW","Robertson","PO Box 577","Gosford","NSW",2250,"(02) 4322 2066","(02) 4322 1922",,1,1,
"Owens","Julie","Ms","(02) 6277 4134","(02) 6277 8433",0,3,"ALP","NSW","Parramatta","Suite 1, 25 Smith Street (Entry via Macquarie Street, opposite the Post Office)","Parramatta","NSW",2150,"(02) 9689 3813","(02) 9689 1455",,1,1,
"Parke","Melissa","Ms","(02) 6277 2189","(02) 6277 8430",0,3,"ALP","WA","Fremantle","PO Box 1224","Fremantle","WA",6959,"(08) 9336 1059","(08) 9335 8555",,1,1,
"Perrett","Graham","Mr","(02) 6277 4542","(02) 6277 8419",0,3,"ALP","Qld","Moreton","PO Box 419, Sunnybank Plaza","Sunnybank","Qld",4109,"(07) 3344 4276","(07) 3344 2622",,1,1,
"Plibersek","Tanya","Ms","(02) 6277 7220","(02) 6273 4146",0,3,"ALP","NSW","Sydney","150 Broadway","Broadway","NSW",2007,"(02) 9379 0701","(02) 9379 0700",,1,1,"Minister for Health"
"Prentice","Jane","Ms","(02) 6277 4426","(02) 6277 8512",0,3,"LP","Qld","Ryan","PO Box 704","Indooroopilly","Qld",4068,"(07) 3378 1399","(07) 3378 1599",,1,1,
"Pyne","Christopher","Mr","(02) 6277 4699","(02) 6277 8537",0,3,"LP","SA","Sturt","429 Magill Road","St Morris","SA",5068,"(08) 8431 2288","(08) 8431 2277",,1,1,"Manager of Opposition Business"
"Ramsey","Rowan","Mr","(02) 6277 4967","(02) 6277 8440",0,3,"LP","SA","Grey","PO Box 296","Port Pirie","SA",5540,"(08) 8633 1749","(08) 8633 1744","1300 301 742",1,1,
"Randall","Don","Mr","(02) 6277 2090","(02) 6277 8425",0,3,"LP","WA","Canning","PO Box 465","Kelmscott","WA",6111,"(08) 9390 1255","(08) 9390 1211",,1,1,
"Ripoll","Bernie","Mr","(02) 6277 4934","(02) 6277 8584",0,3,"ALP","Qld","Oxley","PO Box 4042","Forest Lake","Qld",4078,"(07) 38796441","(07) 38796440",,1,1,
"Rishworth","Amanda","Ms","(02) 6277 2293","(02) 6277 8498",0,3,"ALP","SA","Kingston","232 Main South Road","Morphett Vale","SA",5162,"(08) 8186 2688","(08) 8186 2588","1300 797 211",1,1,
"Robb","Andrew","Mr","(02) 6277 2062","(02) 6277 8525",0,3,"LP","Vic","Goldstein","368 Centre Road","Bentleigh","Vic",3204,"(03) 9557 2906","(03) 9557 4644",,1,1,
"Robert","Stuart","Mr","(02) 6277 2106","(02) 6277 8441",0,3,"LP","Qld","Fadden","PO Box 213","Oxenford","Qld",4210,"(07) 5580 0366","(07) 5580 0355",,1,1,
"Rowland","Michelle","Ms","(02) 6277 4833","(02) 6277 8586",0,3,"ALP","NSW","Greenway","PO Box 686","Seven Hills","NSW",1730,"(02) 9671 5147","(02) 9671 4780",,1,1,
"Roxon","Nicola","Ms","(02) 6277 7300","(02) 6273 4102",0,3,"ALP","Vic","Gellibrand","1 Thomas Holmes Street","Maribyrnong","Vic",3032,"(03) 9317 7477","(03) 9317 7077",,1,1,"Attorney-General"
"Roy","Wyatt","Wyatt","(02) 6277 4646","(02) 6277 8539",0,3,"LP","Qld","Longman","PO Box 825","Morayfield","Qld",4506,"(07) 5428 6800","(07) 5428 7755",,1,1,
"Rudd","Kevin","Mr","(02) 6277 7500","(02) 6273 4112",0,3,"ALP","Qld","Griffith","PO Box 476","Morningside","Qld",4170,"(07) 3899 5755","(07) 3899 4031",,1,1,"Minister for Foreign Affairs"
"Ruddock","Philip","Mr","(02) 6277 4077","(02) 6277 8466",0,3,"LP","NSW","Berowra","PO Box 743","Pennant Hills","NSW",1715,"(02) 9980 1833","(02) 9980 1822",,1,1,
"Saffin","Janelle","Ms","(02) 6277 4323","(02) 6277 8501",0,3,"ALP","NSW","Page","61-63 Molesworth Street","Lismore","NSW",2480,"(02) 6621 9959","(02) 6621 9909",,1,1,
"Schultz","Alby","Mr","(02) 6277 4386","(02) 6277 8482",0,3,"LP","NSW","Hume","PO Box 700","Goulburn","NSW",2580,"02-4822 1029","02-4822 2277",,1,1,
"Scott","Bruce","Mr","(02) 6277 4949","(02) 6277 8421",0,3,"Nats","Qld","Maranoa","PO Box 641","Dalby","Qld",4405,"(07) 4662 5149","(07) 4662 2715","1300 301 964",1,1,"Second Deputy Speaker"
"Secker","Patrick","Mr","(02) 6277 4217","(02) 6277 8541",0,3,"LP","SA","Barker","37 Adelaide Road","Murray Bridge","SA",5253,"(08) 8531 2124","(08) 8531 2466","1300 301 648",1,1,"Opposition Whip"
"Shorten","Bill","Mr","(02) 6277 7320","(02) 6273 4115",0,3,"ALP","Vic","Maribyrnong","PO Box 214","Moonee Ponds","Vic",3039,"(03) 9326 0611","(03) 9326 1300",,1,1,"Minister for Employment and Workplace Relations, Minister for Financial Services and Superannuation"
"Sidebottom","Sid","Mr","(02) 6277 4911","(02) 6277 8547",0,3,"ALP","Tas","Braddon","PO Box 908","Burnie","Tas",7320,"(03) 6431 5680","(03) 6431 1333",,1,1,"Parliamentary Secretary for Agriculture, Fisheries and Forestry"
"Simpkins","Luke","Mr","(02) 6277 4009","(02) 6277 8423",0,3,"LP","WA","Cowan","PO Box 219","Kingsway","WA",6065,"(08) 9409 5100","(08) 9409 4100",,1,1,
"Slipper","Peter","Mr","(02) 6277 4000","(02) 6277 2050",0,3,"Ind.","Qld","Fisher","PO Box 1224","Buddina","Qld",4575,"(07) 5452 6655","(07) 5444 4888","1300 301 981",1,1,"Speaker"
