"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";;;;;;;
;"Mr";"Philip";"Gardiner";;;;"Agricultural";"NPA";;;;1;1;"PO Box 392";;"Moora";"WA";6510;;;;1;0;"Unit 2";"68 Padbury Street";"Moora";"WA";6510;;;;3;0;"Parliament House";;"Perth";"WA";6017;;;;;;;;;;
;"Mr";"Nick";"Goiran";;;;"South Metropolitan";"LIB";;;;1;0;"Unit 2";"714 Ranford Road";"Southern River";"WA";6110;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6018;;;;;;;;;;
;"Mr";"Nigel";"Hallett";;;;"South West";"LIB";;;;1;1;"PO Box 1238";;"Bunbury";"WA";6231;;;;1;0;"Unit 2";"10 Victoria Street";"Bunbury";"WA";6230;;;;3;0;"Parliament House";;"Perth";"WA";6019;;;;;;;;;;
;"Ms";"Alyssa";"Hayden";;;;"East Metropolitan";"LIB";;;;1;0;"34/6 Keane Street";;"Midland";"WA";6056;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6020;;;;;;;;;;
;"Mr";"Col";"Holt";;;;"South West";"NPA";;;;1;1;"PO Box 5250";;"Albany";"WA";6332;;;;1;0;"12A, The Link Shopping Centre";"Aberdeen Street";"Albany";"WA";6330;;;;3;0;"Parliament House";;"Perth";"WA";6021;;;;;;;;;;
;"Mr";"Barry";"House";"President of the Legislative Council";;;"South West";"LIB";;;;1;0;"Shop 6, Wooditchup Centre";"157 Bussell Highway";"Margaret River";"WA";6285;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6022;;;;;;;;;;
;"Ms";"Lynn";"MacLaren";;;;"South Metropolitan";"GWA";;;;1;0;"7/142 South Terrace";;"Fremantle";"WA";6160;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6023;;;;;;;;;;
;"Mrs";"Robyn";"McSweeney";"Minister for Child Protection; Community Services; Seniors and Volunteering; Women's Interests; Youth";;;"South West";"LIB";;;;1;0;"Unit 12c, The Link Shopping Centre";"Cnr St Emilie Way and Aberdeen Street";"Albany";"WA";6330;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6024;;;;4;0;"10th Floor, London House";"216 St Georges Terrace";"Perth";"WA";6000
;"Mr";"Michael";"Mischin";"Parliamentary Secretary to the Treasurer; Attorney General (with respect to the Attorney General only)";;;"North Metropolitan";"LIB";;;;1;1;"PO Box 3044";;"Joondalup";"WA";6027;;;;1;0;"Unit 2";"5 Davidson Terrace";"Joondalup";"WA";6027;;;;3;0;"Parliament House";;"Perth";"WA";6025;;;;;;;;;;
;"Mr";"Norman";"Moore";"Minister for Mines and Petroleum: Fisheries; Electoral Affairs; Leader of the Government in the Legislative Council";;;"Mining and Pastoral";"LIB";;;;3;0;"Parliament House";;"Perth";"WA";6000;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6026;;;;4;0;"4th Floor, London House";"216 St Georges Terrace";"Perth";"WA";6000
;"Mrs";"Helen";"Morton";"Minister for Mental Health; Disability Services";;;"East Metropolitan";"LIB";;;;1;0;"Unit 2 201-205 Burslem Drive";;"Maddington";"WA";6109;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6027;;;;;;;;;;
;"Mr";"Simon";"O'Brien";"Minister for Finance; Commerce; Small Business";;;"South Metropolitan";"LIB";;;;1;1;"PO Box 919";;"Canning Bridge";"WA";6153;;;;1;0;"904 Canning Highway";;"Canning Bridge";"WA";6153;;;;3;0;"Parliament House";;"Perth";"WA";6028;;;;4;0;"13th Floor, Dumas House";"2 Havelock Street";"West Perth";"WA";6005
;"Ms";"Ljiljanna";"Ravlich";;;;"East Metropolitan";"ALP";;;;1;0;"Unit 3 263 Walter Road";;"Morley";"WA";6062;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6029;;;;;;;;;;
;"Ms";"Linda";"Savage";;;;"East Metropolitan";"ALP";;;;1;0;"Unit 1";"398 Great Eastern Highway";"Ascot";"WA";6104;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6030;;;;;;;;;;
;"Ms";"Sally";"Talbot";;;;"South West";"ALP";;;;1;0;"Shop 21, Meadow Springs Shopping Centre";"25 Meadow Springs Drive";"Mandurah";"WA";6210;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6031;;;;;;;;;;
;"Mr";"Ken";"Travers";;;;"North Metropolitan";"ALP";;;;1;0;"Unit 2";"129 Grand Boulevard (Cnr Reid Promenade)";"Joondalup";"WA";6027;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";"WA";6032;;;;;;;;;;
;"Mr";"Max";"Trenorden";;;;"Agricultural";"NPA";;;;1;1;"PO Box 118";;"Northam";"WA";6401;;;;1;0;"Entrance Northam Boulevard";;"Northam";"WA";6401;;;;3;0;"Parliament House";;"Perth";"WA";6033;;;;;;;;;;
;"Ms";"Giz";"Watson";;;;"North Metropolitan";"GWA";;;;1;0;"339 Oxford Street";;"Leederville";"WA";6007;;;;1;0;"339 Oxford Street";;"Leederville";"WA";6007;;;;3;0;"Parliament House";;"Perth";"WA";6034;;;;;;;;;;
;"Ms";"Alison";"Xamon";;;;"East Metropolitan";"GWA";;;;1;1;"PO Box 104";;"Maylands";"WA";6931;;;;1;0;"62 Eighth Street";;"Maylands";"WA";6051;;;;3;0;"Parliament House";;"Perth";"WA";6035;;;;;;;;;;
