"Id","Title","First Name","Second Name","Job","Email","Alternative Email","Electorate","Party","Portfolios","Url","Twitter","Address Type","Postal","Address 1","Address 2","Suburb","State","Pcode","Phone","Tollfree","Fax","Address Type","Postal","Address 1","Address 2","Suburb","State","Pcode","Phone","Tollfree","Fax","Address Type","Postal","Address 1","Address 2","Suburb","State","Pcode","Phone","Tollfree","Fax"
,"Mr","Mark","Coure",,"oatley@parliament.nsw.gov.au",,"Oatley","Liberal Party",,,,1,0,"8 Ormonde Parade",,"Hurstville","NSW",2220,"(02) 9580 9349",,"(02) 9580 9103",,,,,,,,,,,,,,,,,,,,
,"Mr","Michael","Daley",,"maroubra@parliament.nsw.gov.au",,"Maroubra","Australian Labor Party",,,,1,0,"Level 5","806 Anzac Parade","Maroubra","NSW",2035,"(02) 9349 6440",,"(02) 9349 4594",,,,,,,,,,,,,,,,,,,,
,"Mrs"," Tany","Davies",,"mulgoa@parliament.nsw.gov.au",,"Mulgoa","Liberal Party",,,,1,0,"Shop 1","159 Queen Street","St marys","NSW",2760,"(02) 9833 2913",,"(02) 9833 4063",1,1,"PO Box 138",,"St Marys","NSW",2760,,,,,,,,,,,,,
,"Mr","Victor","Dominello","Minister for Citizenship and Communities; and Minister for Aboriginal Affairs","ryde@parliament.nsw.gov.au","office@dominello.minister.nsw.gov.au","Ryde","Liberal Party",,,,1,0,"Suite 202 Ground Floor","5-9 Devlin Street","Ryde","NSW",2112,"(02) 9808 3288",,"(02) 9877 6222",3,0,"Level 37 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 4333",,"(02) 9228 4392",,,,,,,,,,
,"Mr","Bryan","Doyle",,"campbelltown@parliament.nsw.gov.au",,"Campbelltown","Liberal Party",,,,1,0,"Suite 2A","263 Queen Street","Campbelltown","NSW",2560,"(02) 4625 3344",,"(02) 4626 3640",,,,,,,,,,,,,,,,,,,,
,"Mr","Garry","Edwards",,"swansea@parliament.nsw.gov.au",,"Swansea","Liberal Party",,,,1,0,"Shop 1","204-206 Pacific Highway","Swansea","NSW",2281,"(02) 4972 1133",,"(02) 4972 1494",,,,,,,,,,,,,,,,,,,,
,"Mr","David","Elliott",,"baulkhamhills@parliament.nsw.gov.au",,"Baulkham Hills","Liberal Party",,,,1,0,"Suite 1","25-33 Old Northern Road","Baulkham hills","NSW",2153,"(02) 9686 3110",,"(02) 9686 3212",,,,,,,,,,,,,,,,,,,,
,"Mr","Lee","Evans","Acting Speaker","heathcote@parliament.nsw.gov.au",,"Heathcote","Liberal Party",,,,1,0,"Shops 1 & 2","17 - 23 Station Street","Engadine","NSW",2233,"(02) 9548 0144",,"(02) 9548 5639",,,,,,,,,,,,,,,,,,,,
,"Mr","John","Flowers",,"rockdale@parliament.nsw.gov.au",,"Rockdale","Liberal Party",,,,1,0,"478 Princes Highway",,"Rockdale","NSW",2216,"(02) 9597 1414",,"(02) 9567 0508",,,,,,,,,,,,,,,,,,,,
,"Mr","Andrew","Fraser","Assistant Speaker","coffsharbour@parliament.nsw.gov.au",,"Coffs Harbour","The Nationals",,,,1,0,"1/9 Park Avenue",,"Coffs harbour","NSW",2450,"(02) 6652 6500",,"(02) 6652 7934",,,,,,,,,,,,,,,,,,,,
,"Mr","Robert","Furolo",,"lakemba@parliament.nsw.gov.au",,"Lakemba","Australian Labor Party",,,,1,0,"Shop F081, Roselands Shopping Centre","Roselands Drive","Roselands","NSW",2196,"(02) 9759 5000",,"(02) 9759 1945",1,1,"PO Box 5",,"Roselands","NSW",2196,,,,,,,,,,,,,
,"Mr","Andrew","Gee",,"orange@parliament.nsw.gov.au",,"Orange","The Nationals",,,,1,0,"123 Byng Street",,"Orange","NSW",2800,"(02) 6362 5199",,"(02) 6361 3922",,,,,,,,,,,,,,,,,,,,
,"Mr","Thomas","George","Deputy Speaker","lismore@parliament.nsw.gov.au",,"Lismore","The Nationals",,,,1,0,"55 Carrington Street",,"Lismore","NSW",2480,"(02) 6621 3624",,"(02) 6622 1403",1,1,"PO Box 52",,"Lismore","NSW",2480,,,,,,,,,,,,,
,"Ms","Melanie","Gibbons","Acting Speaker","menai@parliament.nsw.gov.au",,"Menai","Liberal Party",,,,1,0,"60 Walder Road",,"Hammondville","NSW",2170,"(02) 9825 3653",,"(02) 9825 4861",,,,,,,,,,,,,,,,,,,,
,"Ms","Pru","Goward","Minister for Family and Community Services; and Minister for Women","goulburn@parliament.nsw.gov.au","office@goward.minister.nsw.gov.au","Goulburn","Liberal Party",,,,1,0,"288 Bong Bong Street",,"Bowral","NSW",2576,"(02) 4861 3623",,"(02) 4861 3546",3,0,"Level 34 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5413",,"(02) 9228 5501",,,,,,,,,,
,"Mr","Troy","Grant","Parliamentary Secretary","dubbo@parliament.nsw.gov.au",,"Dubbo","The Nationals",,,,1,0,"Shop 4","116-118 Macquarie Street","Dubbo","NSW",2830,"(02) 6882 3577",,"(02) 6882 3689",,,,,,,,,,,,,,,,,,,,
,"Mr","Christopher","Gulaptis",,"clarence@parliament.nsw.gov.au",,"Clarence","The Nationals",,,,1,0,"11 Prince Street",,"Grafton","NSW",2460,"(02) 6643 1244",,"(02) 6642 7574",,,,,,,,,,,,,,,,,,,,
,"Mr","Shelley","Hancock","Speaker","southcoast@parliament.nsw.gov.au","speaker@parliament.nsw.gov.au","South Coast","Liberal Party",,,,1,0,"Ground Floor","38 Berry Street","Nowra","NSW",2541,"(02) 4421 0222",,"(02) 4422 1180",3,0,"Parliament of New South Wales","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2201",,"(02) 9230 2846",,,,,,,,,,
,"Mr","Chris","Hartcher","Minister for Resources and Energy; Special Minister of State; and Minister for the Central Coast","terrigal@parliament.nsw.gov.au","office@hartcher.minister.nsw.gov.au","Terrigal","Liberal Party",,,,1,0,"Shop 3 Fountain Plaza","148-158 The Entrance Road","Erina","NSW",2250,"(02) 4365 1906",,"(02) 4365 4768",3,0,"Level 37 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5289",,"(02) 9228 3448",,,,,,,,,,
,"Ms","Noreen","Hay",,"wollongong@parliament.nsw.gov.au",,"Wollongong","Australian Labor Party",,,,1,0,"Suite 2S Rear Ground Floor","111 Crown Street","Wollongong","NSW",2500,"(02) 4226 5700",,"(02) 4226 9963",,,,,,,,,,,,,,,,,,,,
,"Mr","Brad","Hazzard","Minister for Planning and Infrastructure; and Minister Assisting the Premier on Infrastructure NSW","wakehurst@parliament.nsw.gov.au","office@hazzard.minister.nsw.gov.au","Wakehurst","Liberal Party",,,,1,0,"Shop 3 637-641 Pittwater Road",,"Dee why","NSW",2099,"(02) 9981 1111",,"(02) 9981 5059",1,1,"P O Box 405",,"Dee Why","NSW",2099,,,,3,0,"Level 33 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5258",,"(02) 9228 5721"
,"Ms","Katrina","Hodgkinson","Minister for Primary Industries; and Minister for Small Business","burrinjuck@parliament.nsw.gov.au","office@hodgkinson.minister.nsw.gov.au","Burrinjuck","The Nationals",,,,1,0,"133 Comur Street",,"Yass","NSW",2582,"(02) 6226 3311",,"(02) 6226 3345",,,,,,,,,,,3,0,"Level 30 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5210",,"(02) 9228 5969"
,"Mr","Chris","Holstein",,"gosford@parliament.nsw.gov.au",,"Gosford","Liberal Party",,,,1,0,"20 Blackwall Road",,"Woy woy","NSW",2256,"(02) 4342 4122",,"(02) 4341 2368",,,,,,,,,,,,,,,,,,,,
,"Ms","Sonia","Hornery","Acting Speaker","wallsend@parliament.nsw.gov.au",,"Wallsend","Australian Labor Party",,,,1,0,"Suite 3 30 Dan Rees Street",,"Wallsend","NSW",2287,"(02) 4950 0955",,"(02) 4950 0977",1,1,"PO Box 324","Wallsend",,"NSW",2287,,,,,,,,,,,,,
,"Mr","Kevin","Humphries","Minister for Mental Health; Minister for Healthy Lifestyles; and Minister for Western New South Wales","barwon@parliament.nsw.gov.au","office@humphries.minister.nsw.gov.au","Barwon","The Nationals",,,,1,0,"Suites 2-6","161 Balo Street","Moree","NSW",2400,"(02) 6752 5002",,"(02) 6752 6102",3,0,"Level 31 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5248",,"(02) 9228 5882",3,0,"11 Barton Street",,"Cobar","NSW",2835,"(02) 6836 3722",,"(02) 6836 3811"
,"Mr","Tony","Issa",,"granville@parliament.nsw.gov.au",,"Granville","Liberal Party",,,,1,0,"160 Merrylands Road",,"Merrylands","NSW",2160,"(02) 9637 1656",,"(02) 9897 1434",,,,,,,,,,,,,,,,,,,,
,"Mr","Matt","Kean",,"hornsby@parliament.nsw.gov.au",,"Hornsby","Liberal Party",,,,1,0,"Suite 5 The Madison","25-29 Hunter Street","Hornsby","NSW",2077,"(02) 9476 3411",,"(02) 9476 2965",,,,,,,,,,,,,,,,,,,,
,"Ms","Kristina","Keneally",,"heffron@parliament.nsw.gov.au",,"Heffron","Australian Labor Party",,,,1,0,"Shop 117","747 Botany Road","Rosebery","NSW",2018,"(02) 9699 8166",,"(02) 9699 8222",,,,,,,,,,,,,,,,,,,,
,"Mr","Nick","Lalich",,"cabramatta@parliament.nsw.gov.au",,"Cabramatta","Australian Labor Party",,,,1,0,"Suite 10 Level 1","5 Arthur Street","Cabramatta","NSW",2166,"(02) 9724 3381",,"(02) 9724 6056",,,,,,,,,,,,,,,,,,,,
,"Dr","Geoff","Lee",,"parramatta@parliament.nsw.gov.au",,"Parramatta","Liberal Party",,,,1,0,"90 George Street",,"Parramatta","NSW",2150,"(02) 9891 4722",,"(02) 9891 5618",,,,,,,,,,,,,,,,,,,,
,"Mr","Paul","Lynch",,"ElectorateOffice.Liverpool@parliament.nsw.gov.au",,"Liverpool","Australian Labor Party",,,,1,0,"100 Moore Street",,"Liverpool","NSW",2170,"(02) 9602 0040",,"(02) 9821 1807",,,,,,,,,,,,,,,,,,,,
,"Mr","Daryl","Maguire","Government Whip","waggawagga@parliament.nsw.gov.au",,"Wagga Wagga","Liberal Party",,,,1,0,"76 Morgan Street",,"Wagga wagga","NSW",2650,"(02) 6921 1622",,"(02) 6921 4424",,,,,,,,,,,,,,,,,,,,
,"Dr","Andrew","McDonald",,"macquariefields@parliament.nsw.gov.au",,"Macquarie Fields","Australian Labor Party",,,,1,0,"Shop 18 Carnes Hill Marketplace","Corner Cowpasture & Kurrajong Roads","Horningsea park","NSW",2171,"(02) 9608 8991",,"(02) 9608 0606",,,,,,,,,,,,,,,,,,,,
,"Ms"," Tani","Mihailuk",,"bankstown@parliament.nsw.gov.au",,"Bankstown","Australian Labor Party",,,,1,0,"Suite 1 3rd Floor","402-410 Chapel Road","Bankstown","NSW",2200,"(02) 9708 3838",,"(02) 9708 3960",,,,,,,,,,,,,,,,,,,,
,"Ms","Clover","Moore",,"sydney@parliament.nsw.gov.au",,"Sydney","Independent",,,,1,0,"58 Oxford Street",,"Paddington","NSW",2021,"(02) 9360 3053",,"(02) 9331 6963",,,,,,,,,,,,,,,,,,,,
,"Mr","Bruce","Notley-Smith",,"coogee@parliament.nsw.gov.au",,"Coogee","Liberal Party",,,,1,0,"80 Bronte Road",,"Bondi junction","NSW",2022,"(02) 9389 6669",,"(02) 9387 8845",,,,,,,,,,,,,,,,,,,,
,"Mr","Jonathan","O'Dea",,"davidson@parliament.nsw.gov.au",,"Davidson","Liberal Party",,,,1,0,"Suite 8A","12 Tryon Road","Lindfield","NSW",2070,"(02) 9880 7400",,"(02) 9880 7488",,,,,,,,,,,,,,,,,,,,
,"Mr","Barry","O'Farrell","Premier; and Minister for Western Sydney","kuringgai@parliament.nsw.gov.au","office@premier.nsw.gov.au","Ku-ring-gai","Liberal Party",,,,1,0,"27 Redleaf Avenue",,"Wahroonga","NSW",2076,"(02) 9487 8588",,"(02) 9487 8550",3,0,"Level 40 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5239",,"(02) 9228 3935",1,1,"GPO Box 5341",,"Sydney","NSW",2001,,,
,"Mr","Tim","Owen",,"newcastle@parliament.nsw.gov.au",,"Newcastle","Liberal Party",,,,1,0,"Ground Floor","414 Hunter Street","Newcastle","NSW",2300,"(02) 4926 1126",,"(02) 4926 2134",1,1,"PO Box 1816",,"Newcastle","NSW",2300,,,,,,,,,,,,,
,"Mr","Donald","Page","Minister for Local Government; and Minister for the North Coast","ballina@parliament.nsw.gov.au","office@page.minister.nsw.gov.au","Ballina","The Nationals",,,,1,0,"Shop 1","7 Moon Street","Ballina","NSW",2478,"(02) 6686 7522",,"(02) 6686 7470",1,1,"PO Box 1018",,"Ballina","NSW",2478,,,,3,0,"Level 33 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 3403",,"(02) 9228 3442"
,"Mr","Jamie","Parker",,"balmain@parliament.nsw.gov.au",,"Balmain","The Greens",,,,1,0,"112A Glebe Point Road",,"Glebe","NSW",2037,"(02) 9660 7586",,"(02) 9660 6112",,,,,,,,,,,,,,,,,,,,
,"The Hon.","Robyn","Parker","Minister for the Environment; and Minister for Heritage","Robyn.Parker@parliament.nsw.gov.au","office@parker.minister.nsw.gov.au","Maitland","Liberal Party",,,,1,0,"34 Church Street",,"Maitland","NSW",2320,"(02) 4933 1617",,"(02) 4933 4782",1,1,"PO Box 920",,"Maitland","NSW",2320,,,,3,0,"Level 32 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5253",,"(02) 9228 5763"
,"Mr","Ryan","Park",,"keira@parliament.nsw.gov.au",,"Keira","Australian Labor Party",,,,1,0,"Shops 2 and 3","247 Princes Highway","Corrimal","NSW",2518,"(02) 4285 1588",,"(02) 4285 1858",,,,,,,,,,,,,,,,,,,,
,"Mr","Chris","Patterson",,"camden@parliament.nsw.gov.au",,"Camden","Liberal Party",,,,1,0,"66 John Street",,"Camden","NSW",2570,"(02) 4655 3333",,"(02) 4655 3325",,,,,,,,,,,,,,,,,,,,
,"Mr","Dominic","Perrottet",,"castlehill@parliament.nsw.gov.au",,"Castle Hill","Liberal Party",,,,1,0,"Suite 11","2-4 Old Castle Hill Road","Castle hill","NSW",2154,"(02) 9634 7474",,"(02) 9899 3340",,,,,,,,,,,,,,,,,,,,
,"Ms","Barbara","Perry",,"auburn@parliament.nsw.gov.au",,"Auburn","Australian Labor Party",,,,1,0,"54-58 Amy Street",,"Regents park","NSW",2143,"(02) 9644 6972",,"(02) 9644 8290",,,,,,,,,,,,,,,,,,,,
,"Mr"," Adria","Piccoli","Minister for Education","murrumbidgee@parliament.nsw.gov.au","office@piccoli.minister.nsw.gov.au","Murrumbidgee","The Nationals",,,,1,0,"NSW Government Offices","104-110 Banna Avenue","Griffith","NSW",2680,"(02) 6962 6644",,"(02) 6962 7725",3,0,"Level 34 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5261",,"(02) 9228 5492",,,,,,,,,,
,"Mr","Greg","Piper",,"lakemacquarie@parliament.nsw.gov.au",,"Lake Macquarie","Independent",,,,1,0,"92 Victory Parade",,"Toronto","NSW",2283,"(02) 4959 3200",,"(02) 4950 4076",,,,,,,,,,,,,,,,,,,,
,"Mr","Geoff","Provest","Parliamentary Secretary","tweed@parliament.nsw.gov.au",,"Tweed","The Nationals",,,,1,0,"103 Minjungbal Drive",,"Tweed heads south","NSW",2486,"(07) 5523 4816",,"(07) 5523 4817",,,,,,,,,,,,,,,,,,,,
,"Mr","Nathan","Rees",,"toongabbie@parliament.nsw.gov.au",,"Toongabbie","Australian Labor Party",,,,1,0,"166 Best Road",,"Seven hills","NSW",2147,"(02) 9831 8022",,"(02) 9831 8044",,,,,,,,,,,,,,,,,,,,
,"Mr","Anthony","Robertson",,"blacktown@parliament.nsw.gov.au",,"Blacktown","Australian Labor Party",,,,1,0,"107-109 Main Street",,"Blacktown","NSW",2148,"(02) 9671 5222",,"(02) 9671 5266",3,0,"Parliament House","Macquarie Street","Sydney","NSW",2000,"(02) 9230 2310",,"(02) 9230 3355",,,,,,,,,,
,"Mr","John","Roberts","Minister for Fair Trading","lanecove@parliament.nsw.gov.au","office@roberts.minister.nsw.gov.au","Lane Cove","Liberal Party",,,,1,0,"Level 3 Suite 302","230 Victoria Road","Gladesville","NSW",2111,"(02) 9817 4757",,"(02) 9817 5885",3,0,"Level 36 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5276",,"(02) 9228 4236",,,,,,,,,,
,"Mr","Andrew","Rohan",,"smithfield@parliament.nsw.gov.au",,"Smithfield","Liberal Party",,,,1,0,"2/679 The Horsley Drive",,"Smithfield","NSW",2164,"(02) 9756 4766",,"(02) 9756 1544",,,,,,,,,,,,,,,,,,,,
,"Mr","Jai","Rowell",,"wollondilly@parliament.nsw.gov.au",,"Wollondilly","Liberal Party",,,,1,0,"Shop 1","117 Remembrance Drive","Tahmoor","NSW",2573,"(02) 4683 2622",,"(02) 4683 2595",,,,,,,,,,,,,,,,,,,,
,"Mrs","Roza","Sage",,"bluemountains@parliament.nsw.gov.au",,"Blue Mountains","Liberal Party",,,,1,0,"132 Macquarie Road",,"Springwood","NSW",2777,"(02) 4751 3298",,"(02) 4751 1245",,,,,,,,,,,,,,,,,,,,
,"Mr","John","Sidoti",,"drummoyne@parliament.nsw.gov.au",,"Drummoyne","Liberal Party",,,,1,0,"128 Great North Road",,"Five dock","NSW",2046,"(02) 9713 2999",,"(02) 9713 2911",,,,,,,,,,,,,,,,,,,,
,"Ms","Jillian","Skinner","Minister for Health; and Minister for Medical Research","northshore@parliament.nsw.gov.au","office@skinner.minister.nsw.gov.au","North Shore","Liberal Party",,,,1,0,"Suite 3","40 Yeo Street","Neutral bay","NSW",2089,"(02) 9909 2594",,"(02) 9909 2654",3,0,"Level 31 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5229",,"(02) 9228 5877",,,,,,,,,,
,"Mr","Greg","Smith","Attorney General; and Minister for Justice","epping@parliament.nsw.gov.au","office@smith.minister.nsw.gov.au","Epping","Liberal Party",,,,1,0,"Suite 303","Level 3 51 Rawson Street","Epping","NSW",2121,"(02) 9877 0266",,"(02) 9877 0405",3,0,"Level 31 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5246",,"(02) 9228 5874",,,,,,,,,,
,"Mr","George","Souris","Minister for Tourism Major Events Hospitality and Racing; and Minister for the Arts","upperhunter@parliament.nsw.gov.au","office@souris.minister.nsw.gov.au","Upper Hunter","The Nationals",,,,1,0,"20 Bridge Street",,"Muswellbrook","NSW",2333,"(02) 6543 1065",,"(02) 6543 1416",3,0,"Level 30 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,"(02) 9228 5218",,"(02) 9228 5968",,,,,,,,,,
,"Mr","Mark","Speakman",,"cronulla@parliament.nsw.gov.au",,"Cronulla","Liberal Party",,,,1,0,"Shops 3 and 3A","347-357 Port Hacking Road South","Caringbah","NSW",2229,"(02) 9526 8377",,"(02) 9526 8928",,,,,,,,,,,,,,,,,,,,
,"Mr","Chris","Spence",,"TheEntrance@parliament.nsw.gov.au",,"The Entrance","Liberal Party",,,,1,0,"24 The Entrance Road",,"The entrance","NSW",2261,"(02) 4334 1012",,"(02) 4334 3840",1,1,"PO Box 401",,"The Entrance","NSW",2261,,,,,,,,,,,,,
,"Mr","Bob","Stokes","Parliamentary Secretary","pittwater@parliament.nsw.gov.au",,"Pittwater","Liberal Party",,,,1,0,"1725 Pittwater Road",,"Mona vale","NSW",2103,"(02) 9999 3599",,"(02) 9999 0922",,,,,,,,,,,,,,,,,,,,
,"Mr","Andrew","Stoner","Deputy Premier; Minister for Trade and Investment; and Minister for Regional Infrastructure and Services","oxley@parliament.nsw.gov.au","office@deputypremier.nsw.gov.au","Oxley","The Nationals",,,,1,0,"37 Elbow Street",,"West kempsey","NSW",2440,"(02) 6562 6190",,"(02) 6563 1355",1,1,"PO Box 3120",,"West Kempsey","NSW",2440,"(02) 9228 5209",,"(02) 9228 5970",3,0,"Level 30 Governor Macquarie Tower","1 Farrer Place","Sydney","NSW",2000,,,
,"Ms","Carmel","Tebbutt",,"marrickville@parliament.nsw.gov.au",,"Marrickville","Australian Labor Party",,,,1,0,"244 Illawarra Road",,"Marrickville","NSW",2204,"(02) 9558 9000",,"(02) 9558 3653",,,,,,,,,,,,,,,,,,,,
,"Mr","Paul","Toole","Parliamentary Secretary","paul.toole@parliament.nsw.gov.au",,"Bathurst","The Nationals",,,,1,0,"Suites 1 and 2","229 Howick Street","Bathurst","NSW",2795,"(02) 6332 1300",,"(02) 6332 1900",,,,,,,,,,,,,,,,,,,,
,"Mr","Richard","Torbay",,"northerntablelands@parliament.nsw.gov.au",,"Northern Tablelands","Independent",,,,1,0,"Suite 1 Ground Floor","175 Rusden Street","Armidale","NSW",2350,"(02) 6772 5552",,"(02) 6772 5026",1,1,"PO Box 77",,"Armidale","NSW",2350,,,,,,,,,,,,,
,"Ms","Gabrielle","Upton","Parliamentary Secretary","vaucluse@parliament.nsw.gov.au",,"Vaucluse","Liberal Party",,,,1,0,"Suite 102 332-342 Oxford Street",,"Bondi junction","NSW",2022,"(02) 9369 3017",,"(02) 9389 8050",,,,,,,,,,,,,,,,,,,,
,"Mr","Gareth","Ward","Acting Speaker","kiama@parliament.nsw.gov.au",,"Kiama","Liberal Party",,,,1,0,"Terralong House","125 Terralong Street","Kiama","NSW",2533,"(02) 4232 1082",,"(02) 4232 3577",,,,,,,,,,,,,,,,,,,,
