""Surname"",""First Name"",""Other Names"",""Preferred Name"",""Initials"",""Courtesy Title"",""Salutation"",""Honorific"",""Gender"",""Parliament House Telephone"",""Parliament House Fax"",""Political Party"","State",""Electorate"",""Electorate Office Postal Address"",""Electorate Office Postal Suburb"",""Electorate Office Postal State"",""Electorate Office Postal PostCode"",""Electorate Office Fax"",""Electorate Office Phone"",""Electorate Office Toll Free"",""Parliamentary Titles""
"Chester","Darren","","","D.","Mr","Mr","MP","MALE","(02) 6277 4029","(02) 6277 8402","Nats","Vic","Gippsland","PO Box 486","Sale","Vic","3850","(03) 5144 3945","(03) 5144 6744","",""
"Christensen","George","Robert","George","G. R.","Mr","Mr","MP","MALE","(02) 6277 4538","(02) 6277 8508","Nats","Qld","Dawson","PO Box 1697","Mackay","Qld","4740","(07) 4944 0575","(07) 4944 0662","1300 301 979",""
"Ciobo","Steven","Michele","","S. M.","Mr","Mr","MP","MALE","(02) 6277 2330","(02) 6277 8452","LP","Qld","Moncrieff","PO Box 4922","Gold Coast Mail Centre","Qld","9726","(07) 5504 6944","(07) 5504 6000","",""
"Clare","Jason","Dean","","J. D.","The Hon","Mr","MP","MALE","(02) 6277 7290","(02) 6273 7098","ALP","NSW","Blaxland","PO Box 153","Bankstown","NSW","1885","(02) 9790 0770","(02) 9790 2466","","Minister for Home Affairs, Minister for Justice"
"Cobb","John","Kenneth","","J. K.","The Hon","Mr","MP","MALE","(02) 6277 4721","(02) 6277 8543","Nats","NSW","Calare","PO Box 673","Orange","NSW","2800","(02) 6362 3480","(02) 6361 7138","",""
"Collins","Julie","Maree","","J. M.","The Hon","Ms","MP","FEMALE","(02) 6277 7780","(02) 6273 7096","ALP","Tas","Franklin","PO Box 38","Rosny Park","Tas","7018","(03) 6244 1211","(03) 6244 1222","","Minister for Community Services, Minister for Indigenous Employment and Economic Development, Minister for the Status of Women"
"Combet","Gregory","Ivan","Greg","G. I.","The Hon","Mr","AM, MP","MALE","(02) 6277 7920","(02) 6273 7330","ALP","NSW","Charlton","PO Box 747","Cardiff","NSW","2285","(02) 4954 2655","(02) 4954 2611","","Minister for Climate Change and Energy Efficiency, Minister for Industry and Innovation"
"Coulton","Mark","Maclean","","M.","Mr","Mr","MP","MALE","(02) 6277 4607","(02) 6277 8504","Nats","NSW","Parkes","Shop 3, 153 Brisbane Street","Dubbo","NSW","2830","(02) 6882 9935","(02) 6882 0999","","The Nationals Chief Whip"
"Crean","Simon","Findlay","","S. F.","The Hon","Mr","MP","MALE","(02) 6277 7380","(02) 6273 4117","ALP","Vic","Hotham","PO Box 5295","Clayton","Vic","3168","(03) 9545 6299","(03) 9545 6211","","Minister for Regional Australia, Regional Development and Local Government, Minister for the Arts"
"Crook","Anthony","John","Tony","A. J.","Mr","Mr","MP","MALE","(02) 6277 4105","(02) 6277 8471","NatsWA","WA","O'Connor","PO Box 10415","Kalgoorlie","WA","6433","(08) 9021 1506","(08) 9021 1241","1300 772 061",""
"Danby","Michael","","","M.","Mr","Mr","MP","MALE","(02) 6277 4520","(02) 6277 8480","ALP","Vic","Melbourne Ports","PO Box 2086","St Kilda West","Vic","3182","(03) 9534 1575","(03) 9534 8126","",""
"D'Ath","Yvette","Maree","","Y. M.","Mrs","Mrs","MP","FEMALE","(02) 6277 4501","(02) 6277 8442","ALP","Qld","Petrie","PO Box 667","Aspley","Qld","4034","(07) 3863 2889","(07) 3863 6888","",""
"Dreyfus","Mark","Alfred","Mark","M. A.","The Hon","Mr","QC, MP","MALE","(02) 6277 4305","(02) 6277 8484","ALP","Vic","Isaacs","Shop No. 6, Parkmore Shopping Centre, Cheltenham Road","Keysborough","Vic","3173","(03) 9769 1977","(03) 9769 1955","","Cabinet Secretary, Parliamentary Secretary for Climate Change and Energy Efficiency, Parliamentary Secretary for Industry and Innnovation"
"Dutton","Peter","Craig","","P. C.","The Hon","Mr","MP","MALE","(02) 6277 4884","(02) 6277 8572","LP","Qld","Dickson","PO Box 2012","Strathpine","Qld","4500","(07) 3205 5111","(07) 3205 9977","",""
"Elliot","Maria","Justine","Justine","M. J.","The Hon","Mrs","MP","FEMALE","(02) 6277 4554","(02) 6277 8520","ALP","NSW","Richmond","PO Box 6996","Tweed Heads South","NSW","2486","(07) 5523 4379","(07) 5523 4371","","Parliamentary Secretary for Trade"
"Ellis","Katherine","Margaret","Kate","K. M.","The Hon","Ms","MP","FEMALE","(02) 6277 7630","(02) 6273 5188","ALP","SA","Adelaide","161a Main North Road, Nailsworth","","SA","5083","(08) 8269 2488","(08) 8269 2433","","Minister for Employment Participation, Minister for Early Childhood and Childcare"
"Emerson","Craig","Anthony","","C. A.","The Hon Dr","Dr","MP","MALE","(02) 6277 7420","(02) 6273 4128","ALP","Qld","Rankin","PO Box 349","Woodridge","Qld","4114","(07) 3208 8744","(07) 3299 5910","","Minister for Trade"
"Entsch","Warren","George","Warren","W. G.","The Hon","Mr","MP","MALE","(02) 6277 4088","(02) 6277 8468","LP","Qld","Leichhardt","PO Box 14","Bungalow","Qld","4870","(07) 4031 1592","(07) 4051 2220","","Chief Opposition Whip"
"Ferguson","Laurie","Donald Thomas","Laurie","L. D. T.","Mr","Mr","MP","MALE","(02) 6277 4920","(02) 6277 8507","ALP","NSW","Werriwa","PO Box 191,","Ingleburn","NSW","1890","(02) 9829 7499","(02) 9829 7477","",""
"Ferguson","Martin","John","","M. J.","The Hon","Mr","AM, MP","MALE","(02) 6277 7930","(02) 6273 0434","ALP","Vic","Batman","159 High Street","Preston","Vic","3072","(03) 9416 7810","(03) 9416 8690","","Minister for Resources and Energy, Minister for Tourism"
"Fitzgibbon","Joel","Andrew","","J. A.","The Hon","Mr","MP","MALE","(02) 6277 4083","(02) 6277 2309","ALP","NSW","Hunter","PO Box 526","Cessnock","NSW","2325","(02) 4991 2322","(02) 4991 1022","","Chief Government Whip"
"Fletcher","Paul","William","Paul","P. W.","Mr","Mr","MP","MALE","(02) 6277 4240","(02) 6277 8457","LP","NSW","Bradfield","Suite 8, 12 Tryon Road","Lindfield","NSW","2070","(02) 9465 3999","(02) 9465 3950","",""
"Forrest","John","Alexander","","J. A.","Mr","Mr","MP","MALE","(02) 6277 4550","(02) 6277 8532","Nats","Vic","Mallee","PO Box 487","Swan Hill","Vic","3585","(03) 5032 9407","(03) 5032 4510","",""
"Frydenberg","Joshua","Anthony","Josh","J. A.","Mr","Mr","MP","MALE","(02) 6277 4606","(02) 6277 8546","LP","Vic","Kooyong","695 Burke Road","Camberwell","Vic","3124","(03) 9882 3773","(03) 9882 3677","",""
"Gambaro","Teresa","","","T.","The Hon","Ms","MP","FEMALE","(02) 6277 4331","(02) 6277 8515","LP","Qld","Brisbane","PO Box 98","Grange","Qld","4051","","(07) 3356 1555","",""
"Garrett","Peter","Robert","","P. R.","The Hon","Mr","AM, MP","MALE","(02) 6277 7350","(02) 6273 4134","ALP","NSW","Kingsford Smith","PO Box 249","Maroubra","NSW","2035","(02) 9349 8089","(02) 9349 6007","","Minister for School Education, Early Childhood and Youth"
"Gash","Joanna","","","J.","Mrs","Mrs","MP","FEMALE","(02) 6277 4357","(02) 6277 8475","LP","NSW","Gilmore","PO Box 1009","Nowra","NSW","2541","(02) 4423 1785","(02) 4423 1782","",""
"Georganas","Steven","","Steve","S.","Mr","Mr","MP","MALE","(02) 6277 4415","(02) 6277 8438","ALP","SA","Hindmarsh","Shop 2, 670 ANZAC Highway","Glenelg","SA","5045","(08) 8376 7888","(08) 8376 9000","",""
"Gibbons","Stephen","William","Steve","S. W.","Mr","Mr","MP","MALE","(02) 6277 2230","(02) 6277 8564","ALP","Vic","Bendigo","PO Box 338","Bendigo","Vic","3550","(03) 5443 9736","(03) 5443 9055","",""
"Gillard","Julia","Eileen","","J. E.","The Hon","Ms","MP","FEMALE","(02) 6277 7700","(02) 6273 4100","ALP","Vic","Lalor","PO Locked Bag 14","Werribee","Vic","3030","(03) 9741 6213","(03) 9742 5800","","Prime Minister"
"Gray","Gary","","","G.","The Hon","Mr","AO, MP","MALE","(02) 6277 7600","(02) 6273 4541","ALP","WA","Brand","1/15 Kent Street, Rockingham","","WA","6168","(08) 9592 1361","(08) 9527 9377","","Special Minister of State, Minister for the Public Service and Integrity"
"Grierson","Sharon","Joy","","S. J.","Ms","Ms","MP","FEMALE","(02) 6277 4221","(02) 6277 8461","ALP","NSW","Newcastle","427 Hunter Street","Newcastle","NSW","2300","(02) 4926 1895","(02) 4926 1555","",""
"Griffin","Alan","Peter","","A. P.","The Hon","Mr","MP","MALE","(02) 6277 4303","(02) 6277 8499","ALP","Vic","Bruce","PO Box 1034","Waverley Gardens","Vic","3170","(03) 9547 7944","(03) 9547 1444","",""
"Griggs","Natasha","Louise","","N. L.","Mrs","Mrs","MP","FEMALE","(02) 6277 2392","(02) 6277 8479","CLP","NT","Solomon","PO Box 2163","Darwin","NT","0801","(08) 8981 8731","(08) 8981 3434","",""
"Haase","Barry","Wayne","","B. W.","Mr","Mr","MP","MALE","(02) 6277 4154","(02) 6277 8576","LP","WA","Durack","2B/209 Foreshore Drive","Geraldton","WA","6530","(08) 9921 7990","(08) 9964 2195","",""
"Hall","Jill","Griffiths","","J. G.","Ms","Ms","MP","FEMALE","(02) 6277 4492","(02) 6277 8505","ALP","NSW","Shortland","PO Box 499","Belmont","NSW","2280","(02) 4947 9722","(02) 4947 9711","","Government Whip"
"Hartsuyker","Luke","","","L.","Mr","Mr","MP","MALE","(02) 6277 4447","(02) 6277 8410","Nats","NSW","Cowper","PO Box 2056","Coffs Harbour","NSW","2450","(02) 6651 4346","(02) 6652 6233","",""
"Hawke","Alexander","George","Alex","A. G.","Mr","Mr","MP","MALE","(02) 6277 4430","(02) 6277 8522","LP","NSW","Mitchell","PO Box 1173","Castle Hill","NSW","2154","(02) 9899 7990","(02) 9899 7211","",""
"Hayes","Christopher","Patrick","Chris","C. P.","Mr","Mr","MP","MALE","(02) 6277 4682","(02) 6277 8523","ALP","NSW","Fowler","PO Box 205","Cabramatta","NSW","2166","(02) 9727 2240","(02) 9726 3988","",""
"Hockey","Joseph","Benedict","Joe","J. B.","The Hon","Mr","MP","MALE","(02) 6277 4854","(02) 6277 8401","LP","NSW","North Sydney","PO Box 1107","North Sydney","NSW","2059","(02) 9929 9833","(02) 9929 9822","",""
"Hunt","Gregory","Andrew","Greg","G. A.","The Hon","Mr","MP","MALE","(02) 6277 2276","(02) 6277 8446","LP","Vic","Flinders","PO Box 274","Hastings","Vic","3915","(03) 5979 3034","(03) 5979 3188","",""
"Husic","Edham","Nurredin","Ed","E. N.","Mr","Mr","MP","MALE","(02) 6277 4488","(02) 6277 8590","ALP","NSW","Chifley","PO Box 259","Mt Druitt","NSW","2770","(02) 9832 2641","(02) 9625 4344","","Government Whip"
"Irons","Stephen","James","Steve","S. J.","Mr","Mr","MP","MALE","(02) 6277 4337","(02) 6277 8494","LP","WA","Swan","PO Box 1060","East Victoria Park","WA","6981","(08) 9355 0199","(08) 9355 0099","",""
"Jenkins","Harry","Alfred","","H. A.","Mr","Mr","MP","MALE","(02) 6277 4970","(02) 6277 8599","ALP","Vic","Scullin","PO Box 167","Mill Park","Vic","3082","(03) 9404 1725","(03) 9404 1911","",""
"Jensen","Dennis","Geoffrey","Dennis","D. G.","Dr","Dr","MP","MALE","(02) 6277 4156","(02) 6277 8460","LP","WA","Tangney","PO Box 329","Willetton","WA","6955","(08) 9354 9233","(08) 9354 9633","",""
"Jones","Ewen","Thomas","","E. T.","Mr","Mr","MP","MALE","(02) 6277 4693","(02) 6277 8551","LP","Qld","Herbert","PO Box 226","Aitkenvale","Qld","4814","(07) 4725 2088","(07) 4725 2066","",""
"Jones","Stephen","Patrick","Stephen","S. P.","Mr","Mr","MP","MALE","(02) 6277 4661","(02) 6277 8548","ALP","NSW","Throsby","PO Box 864","Dapto","NSW","2530","(02) 4262 6155","(02) 4262 6122","",""
"Katter","Robert","Carl","Bob","R. C.","The Hon","Mr","MP","MALE","(02) 6277 4978","(02) 6277 8558","AUS","Qld","Kennedy","PO Box 1638","Innisfail","Qld","4860","(07) 4061 6566","(07) 4061 6066","",""
"Keenan","Michael","","","M.","Mr","Mr","MP","MALE","(02) 6277 4223","(02) 6277 8490","LP","WA","Stirling","PO Box 261","Osborne Park","WA","6917","(08) 9440 3988","(08) 9440 3999","",""
"Kelly","Craig","","","C.","Mr","Mr","MP","MALE","(02) 6277 4366","(02) 6277 8567","LP","NSW","Hughes","PO Box 1014,","Sutherland","NSW","1499","(02) 9545 0927","(02) 9521 6262","",""
"Kelly","Michael","Joseph","Mike","M. J.","The Hon Dr","Dr","AM, MP","MALE","(02) 6277 4840","(02) 6277 8556","ALP","NSW","Eden-Monaro","PO Box 214","Queanbeyan","NSW","2620","(02) 6284 2250","(02) 6284 2211","","Parliamentary Secretary for Defence"
"King","Catherine","Fiona","","C. F.","The Hon","Ms","MP","FEMALE","(02) 6277 4230","(02) 6277 8428","ALP","Vic","Ballarat","5 Lydiard Street North","Ballarat","Vic","3350","(03) 5333 7710","(03) 5338 8123","","Parliamentary Secretary for Infrastructure and Transport, Parliamentary Secretary for Health and Ageing"
"Laming","Andrew","","","A.","Mr","Mr","MP","MALE","(02) 6277 4258","(02) 6277 8503","LP","Qld","Bowman","PO Box 8024","Cleveland","Qld","4163","(07) 3821 3799","(07) 3821 0155","",""
"Leigh","Andrew","Keith","","A. K.","Dr","Dr","MP","MALE","(02) 6277 4140","(02) 6277 8469","ALP","ACT","Fraser","Unit 8/1 Torrens St","Braddon","ACT","2612","(02) 6247 3457","(02) 6247 4396 or 6247 4037","",""
"Ley","Sussan","Penelope","","S. P.","The Hon","Ms","MP","FEMALE","(02) 6277 4503","(02) 6277 8431","LP","NSW","Farrer","PO Box 672","Albury","NSW","2640","(02) 6021 6620","(02) 6021 3264","1300 303 203",""
"Livermore","Kirsten","Fiona","","K. F.","Ms","Ms","MP","FEMALE","(02) 6277 4738","(02) 6277 8434","ALP","Qld","Capricornia","PO Box 1919","Rockhampton","Qld","4700","(07) 4922 6607","(07) 4922 6604","1300 301 943",""
"Lyons","Geoffrey","Raymond","Geoff","G. R.","Mr","Mr","MP","MALE","(02) 6277 4735","(02) 6277 8577","ALP","Tas","Bass","PO Box 5035","Launceston","Tas","7250","(03) 6334 7055","(03) 6334 7033","",""
"Macfarlane","Ian","Elgin","","I. E.","The Hon","Mr","MP","MALE","(02) 6277 4433","(02) 6277 8492","LP","Qld","Groom","PO Box 777","Toowoomba","Qld","4350","(07) 4638 2147","(07) 4632 4144","",""
"Macklin","Jennifer","Louise","Jenny","J. L.","The Hon","Ms","MP","FEMALE","(02) 6277 7560","(02) 6273 4122","ALP","Vic","Jagajaga","PO Box 316","Heidelberg","Vic","3084","(03) 9457 5721","(03) 9459 1411","","Minister for Families, Community Services and Indigenous Affairs, Minister for Disability Reform"
"Marino","Nola","Bethwyn","","N. B.","Ms","Ms","MP","FEMALE","(02) 6277 2318","(02) 6277 8450","LP","WA","Forrest","Unit 3, 9 Cassowary Bend","Eaton","WA","6232","(08) 9725 2444","(08) 9725 2300","","Opposition Whip"
"Markus","Louise","Elizabeth","Louise","L. E.","Mrs","Mrs","MP","FEMALE","(02) 6277 2371","(02) 6277 8463","LP","NSW","Macquarie","PO Box 855","Windsor","NSW","2756","(02) 4577 2640","(02) 4577 2631","",""
"Marles","Richard","Donald","","R. D.","The Hon","Mr","MP","MALE","(02) 6277 4330","(02) 6277 8488","ALP","Vic","Corio","17A Yarra Street","Geelong","Vic","3220","(03) 5222 4505","(03) 5221 3033","","Parliamentary Secretary for Pacific Island Affairs"
"Matheson","Russell","Glenn","Russell","R. G.","Mr","Mr","MP","MALE","(02) 6277 2035","(02) 6277 8486","LP","NSW","Macarthur","PO Box 1065","Camden","NSW","2570","(02) 4655 7690","(02) 4655 7600","",""
"McClelland","Robert","Bruce","","R. B.","The Hon","Mr","MP","MALE","(02) 6277 7667","(02) 6273 9395","ALP","NSW","Barton","PO Box 32","Kogarah","NSW","2217","(02) 9553 0855","(02) 9553 4111","","Minister for Housing, Minister for Homelessness, Minister for Emergency Management"
"McCormack","Michael","Francis","Michael","M. F.","Mr","Mr","MP","MALE","(02) 6277 4725","(02) 6277 8563","Nats","NSW","Riverina","Suite 2, 11-15 Fitzmaurice Street","Wagga Wagga","NSW","2650","(02) 6921 5900","(02) 6921 4600","",""
"Melham","Daryl","","","D.","Mr","Mr","MP","MALE","(02) 6277 2054","(02) 6277 4476","ALP","NSW","Banks","PO Box 775","Revesby","NSW","2212","(02) 9774 5461","(02) 9774 2111","",""
"Mirabella","Sophie","","","S.","Mrs","Mrs","MP","FEMALE","(02) 6277 2301","(02) 6277 8448","LP","Vic","Indi","117 Murphy Street","Wangaratta","Vic","3677","(03) 5721 8196","(03) 5721 5377","",""
"Mitchell","Robert","George","Rob","R. G.","Mr","Mr","MP","MALE","(02) 6277 4117","(02) 6277 8443","ALP","Vic","McEwen","Suite 4B, 61 High Street","Wallan","Vic","3756","(03) 5783 4889","(03) 5783 4880, 1300 701 966","",""
"Morrison","Scott","John","","S. J.","Mr","Mr","MP","MALE","(02) 6277 2086","(02) 6277 8571","LP","NSW","Cook","PO Box 1306","Cronulla","NSW","2230","(02) 9523 8959","(02) 9523 0339","",""
"Moylan","Judith","Eleanor","Judi","J. E.","The Hon","Mrs","MP","FEMALE","(02) 6277 4171","(02) 6277 8400","LP","WA","Pearce","PO Box 1005","Midland","WA","6936","(08) 9294 2888","(08) 9294 3222","",""
"Murphy","John","Paul","","J. P.","The Hon","Mr","MP","MALE","(02) 6277 4099","(02) 6277 8530","ALP","NSW","Reid","PO Box 2028","Burwood","NSW","2134","(02) 9745 2825","(02) 9745 4433","",""
"Neumann","Shayne","Kenneth","","S. K.","Mr","Mr","MP","MALE","(02) 6277 4755","(02) 6277 8533","ALP","Qld","Blair","PO Box 5117","Brassall","Qld","4305","(07) 3201 5311","(07) 3201 5300","1300 792 714",""
"Neville","Paul","Christopher","","P. C.","Mr","Mr","MP","MALE","(02) 6277 4940","(02) 6277 8559","Nats","Qld","Hinkler","PO Box 535","Bundaberg","Qld","4670","(07) 4153 1752","(07) 4152 0744","","The Nationals Deputy Whip"
"Oakeshott","Robert","James Murray","Robert","R. J. M.","Mr","Mr","MP","MALE","(02) 6277 4052","(02) 6277 8403","Ind.","NSW","Lyne","PO Box 1112","Port Macquarie","NSW","2444","(02) 6584 2922","(02) 6584 2911","",""
"O'Connor","Brendan","Patrick John","","B. P. J.","The Hon","Mr","MP","MALE","(02) 6277 7200","(02) 6273 4406","ALP","Vic","Gorton","900A Old Calder Highway","Keilor","Vic","3036","(03) 8361 6577","(03) 8361 6588","","Minister for Human Services, Minister Assisting for School Education"
"O'Dowd","Kenneth","Desmond","Ken","K. D.","Mr","Mr","MP","MALE","(02) 6277 4380","(02) 6277 8495","Nats","Qld","Flynn","76 Goondoon Street","Gladstone","Qld","4680","(07) 4972 0888","(07) 4972 5465","",""
"O'Dwyer","Kelly","Megan","Kelly","K. M.","Ms","Ms","MP","FEMALE","(02) 6277 4155","(02) 6277 8453","LP","Vic","Higgins","Suite 1, 1343 Malvern Road","Malvern","Vic","3144","(03) 9822 0319","(03) 9822 4422","",""
"O'Neill","Deborah","Mary","Deb","D.M","Ms","Ms","MP","FEMALE","(02) 6277 4070","(02) 6277 8593","ALP","NSW","Robertson","PO Box 577","Gosford","NSW","2250","(02) 4322 2066","(02) 4322 1922","",""
"Owens","Julie","","","J.","Ms","Ms","MP","FEMALE","(02) 6277 4134","(02) 6277 8433","ALP","NSW","Parramatta","Suite 1, 25 Smith Street (Entry via Macquarie Street, opposite the Post Office)","Parramatta","NSW","2150","(02) 9689 3813","(02) 9689 1455","",""
"Parke","Melissa","","","M.","Ms","Ms","MP","FEMALE","(02) 6277 2189","(02) 6277 8430","ALP","WA","Fremantle","PO Box 1224","Fremantle","WA","6959","(08) 9336 1059","(08) 9335 8555","",""
"Perrett","Graham","Douglas","","G. D.","Mr","Mr","MP","MALE","(02) 6277 4542","(02) 6277 8419","ALP","Qld","Moreton","PO Box 419, Sunnybank Plaza","Sunnybank","Qld","4109","(07) 3344 4276","(07) 3344 2622","",""
"Plibersek","Tanya","Joan","","T. J.","The Hon","Ms","MP","FEMALE","(02) 6277 7220","(02) 6273 4146","ALP","NSW","Sydney","150 Broadway","Broadway","NSW","2007","(02) 9379 0701","(02) 9379 0700","","Minister for Health"
"Prentice","Jane","","","J.","Mrs","Ms","MP","FEMALE","(02) 6277 4426","(02) 6277 8512","LP","Qld","Ryan","PO Box 704","Indooroopilly","Qld","4068","(07) 3378 1399","(07) 3378 1599","",""
"Pyne","Christopher","Maurice","","C. M.","The Hon","Mr","MP","MALE","(02) 6277 4699","(02) 6277 8537","LP","SA","Sturt","429 Magill Road","St Morris","SA","5068","(08) 8431 2288","(08) 8431 2277","","Manager of Opposition Business"
"Ramsey","Rowan","Eric","","R. E.","Mr","Mr","MP","MALE","(02) 6277 4967","(02) 6277 8440","LP","SA","Grey","PO Box 296","Port Pirie","SA","5540","(08) 8633 1749","(08) 8633 1744","1300 301 742",""
"Randall","Don","James","","D. J.","Mr","Mr","MP","MALE","(02) 6277 2090","(02) 6277 8425","LP","WA","Canning","PO Box 465","Kelmscott","WA","6111","(08) 9390 1255","(08) 9390 1211","",""
