"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";;;;;;;
;"Mr";"Paul";"Henderson";"Chief Minister
Minister for Police, Fire and Emergency Services
Minister for Major Projects and Economic Development
Minister for Multicultural Affairs
Minister for Defence Liaison";"electorate.wanguri@nt.gov.au";;"Wanguri";"ALP";;;;1;0;"Shop 9B";"Hibiscus Shoppingtown";"Leanyer";"NT";"0812";"(08) 8927 7033";;"(08) 8945 1921";1;1;"PO Box 41104";;"Casuarina";"NT";"0811";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8901 4000";;"(08) 8901 4099";3;1;"GPO Box 3146";;"Darwin";"NT";"0801"
;"Mr";"Rob";"Knight";"Minister for Justice and Attorney-General
Minister for Essential Services
Minister for Senior Territorians
Minister for Young Territorians";"electorate.daly@nt.gov.au";;"Daly";"ALP";;;;1;0;"Shop 9A, Coolalinga Shopping Centre";"Stuart Highway";"Coolalinga";"NT";"0835";"(08) 8983 3911";;"(08) 8983 3922";1;1;"PO Box 572";;"Virginia";"NT";"0834";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8901 4092";;"(08) 8901 4094";3;1;"GPO Box 3146";;"Darwin";"NT";"0801"
;"Mrs";"Robyn";"Lambley";"Deputy Chairman of Committees
Shadow Portfolios:
Child Protection
Children and Families";"electorate.araluen@nt.gov.au";;"Araluen";"CLP";;;;1;0;"Shop 1, Helm House";"Gregory Terrace";"Alice Springs";"NT";"0870";"(08) 8953 6580";;"(08) 8953 8029";1;1;"PO Box 2654";;"Alice Springs";"NT";"0871";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1432";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Ms";"Delia";"Lawrie";"Deputy Chief Minister
Treasurer
Minister for Business and Employment
Minister for Trade
Minister for Asian Relations
Minister for Racing, Gaming and Licensing
Minister for Alcohol Policy
Minister for Defence Support";"electorate.karama@nt.gov.au";;"Karama";"ALP";;;;1;0;"Shop 27";"Karama Shopping Plaza";"Karama";"NT";"0812";"(08) 8927 7366";;"(08) 8945 2090";1;1;"PO Box 662";;"Sanderson";"NT";"0813";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8901 4047";;"(08) 8901 4169";3;1;"GPO Box 3146";;"Darwin";"NT";"0801"
;"Mr";"Gerald";"McCarthy";"Minister for Lands and Planning
Minister for Transport
Minister for Construction
Minister for Correctional Services
Minister for Arts and Museums";"electorate.barkly@nt.gov.au";;"Barkly";"ALP";;;;1;0;"Paterson Street";;"Tennant Creek";"NT";"0860";"(08) 8962 2205";;"(08) 8962 3008";1;1;"PO Box 796";;"Tennant Creek";"NT";"0861";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8901 4102";;"(08) 8901 4110";3;1;"GPO Box 3146";;"Darwin";"NT";"0801"
;"Ms";"Malarndirri";"McCarthy";"Minister for Local Government
Minister for Regional Development
Minister for Indigenous Development
Minister for Tourism
Minister for Women’s Policy
Minister for Statehood";"electorate.@nt.gov.au";;"Arnhem";"ALP";;;;1;0;"Shop 4";"Casuarina Shopping Village";"Casuarina";"NT";"0810";"(08) 8927 6677";;"(08) 8927 6502";1;1;"PO Box 41880";;"Casuarina";"NT";"0811";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8901 4072";;"(08) 8901 4080";3;1;"GPO Box 3146";;"Darwin";"NT";"0801"
;"Mr";"Terry";"Mills";"Leader of the Opposition
Shadow Portfolios: 
Police, Fire and Emergency Services
Public and Affordable Housing 
Major Projects and Economic Development
Asian Relations and Trade
Defence Liaison";"electorate.blain@nt.gov.au";;"Blain";"CLP";;;;1;0;"Shop 16";"Palm City Oasis Shopping Centre";"Palmerston";"NT";"0830";"(08) 8932 1500";;"(08) 8932 3219";1;1;"PO Box 88";;"Palmerston";"NT";"0831";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8901 4188";;"(08) 8901 4192";3;1;"GPO Box 3700";;"Darwin";"NT";"0801"
;"Ms";"Kezia";"Purick";"Deputy Leader of the Opposition
Shadow Portfolios: 
Primary Industry, Fisheries and Resources
Statehood
Women’s Policy";"kezia.purick@nt.gov.au";;"Goyder";"CLP";;;;1;0;"Shop 44";"Coolalinga (Woolworths Shopping Centre)";"Stuart Highway";"NT";"0835";"(08) 8983 3477";;"(08) 8983 3488";1;1;"PMB 19, PO Box 151";;"Virginia via Winnellie";"NT";"0821";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1460";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Ms";"Marion";"Scrymgour";"Deputy Chairman of Committees
Parliamentary Secretary for Territory 2030";"electorate.arafura@nt.gov.au";;"Arafura";"ALP";;;;1;0;"Shops 7 & 8 Moil Shopping Centre";"Moil Place";"Moil";"NT";"0811";"(08) 8927 0966";;"(08) 8927 0988";1;1;"PO Box 758";;"Nightcliff";"NT";"0814";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8901 4201";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Mr";"Peter";"Styles";"Deputy Chairman of Committees
Shadow Portfolios: 
Alcohol Policy
Racing, Gaming and Licensing
Multi-Cultural Affairs
Young Territorians
Senior Territorians";"electorate.sanderson@nt.gov.au";;"Sanderson";"CLP";;;;1;0;"Shop 4, Northlakes Shopping Centre";"1 Links Road";"Marrara";"NT";"0812";"(08) 8927 2100";;"(08) 8945 1769";1;1;"PO Box 620";;"Sanderson";"NT";"0813";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1449";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Mr";"David";"Tollner";"Shadow Portfolios: 
Lands and Planning
Business and Employment";"electorate.fonglim@nt.gov.au";;"Fong Lim";"CLP";;;;1;0;"Shop 20";"Winnellie Shopping Centre";"Winnellie";"NT";"0820";"(08) 8941 8988";;"(08) 8941 8099";1;1;"PO Box 37887";;"Winnellie";"NT";"0821";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1417";;"(08) 8901 4192";3;1;"GPO Box 3700";;"Darwin";"NT";"0801"
;"Mr";"Kon";"Vatskalis";"Minister for Health
Minister for Children and Families
Minister for Child Protection
Minister for Primary Industry, Fisheries and Resources";"electorate.casuarina@nt.gov.au";;"Casuarina";"ALP";;;;1;0;"Shops 15 & 16, Casuarina Plaza";"Trower Road";"Casuarina";"NT";"0810";"(08) 8945 0362";;"(08) 8945 0106";1;1;"PO Box 41269";;"Casuarina";"NT";"0811";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8901 4118";;"(08) 8901 4119";3;1;"GPO Box 3146";;"Darwin";"NT";"0801"
;"Ms";"Lynne";"Walker";"Deputy Speaker and Chairman of Committees
Parliamentary Secretary for Education";"electorate.nhulunbuy@nt.gov.au";;"Nhulunbuy";"ALP";;;;1;0;"Arnhem House";"Endeavour Square";"Nhulunbuy";"NT";"0880";"(08) 8987 1711";;"(08) 8987 2388";1;1;"PO Box 1021";;"Nhulunbuy";"NT";"0881";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1446";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Mr";"Willem";"Westra van holthe";"Shadow Portfolios:
Tourism
Local Government
Correctional Services
Essential Services";"electorate.katherine@nt.gov.au";;"Katherine";"CLP";;;;1;0;"Shop 1";"56 Katherine Terrace";"Katherine";"NT";"0850";"(08) 8972 1877";;"(08) 8972 1071";1;1;"PO Box 819";;"Katherine";"NT";"0851";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1462";;;3;1;"GPO Box 3721";;"Darwin";"NT";"0801"
;"Mr";"Gerry";"Wood";"Chairman of the Council of Territory Cooperation";"electorate.nelson@nt.gov.au";;"Nelson";"IND";;;;1;0;"Shop 5, Howard Springs Shopping Centre";"Whitewood Road";"Howard Springs";"NT";"0835";"(08) 8983 1302";;"(08) 8983 1638";1;1;"PO Box 120";;"Howard Springs";"NT";"0835";;;;"3";"0";"Parliament House";;"Darwin";"NT";"0800";"(08) 8946 1591";;;3;1;"GPO Box 372";;"Darwin";"NT";"0801"
