"Id";"Title";"First Name";"Second Name";"Job";"Email";"Electorate";"Party";"Portfolios";"URL";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";;;;;;;
;"Mr";"Anthony";"Carbines";"Parliamentary Secretary to the Shadow Ministers for Local Government and Suburbs; ";"anthony.carbines@parliament.vic.gov.au";"Ivanhoe";"ALP";;"http://www.anthonycarbines.org.au";;;;"Shop 14";"The Mall";"Heidelberg West";"VIC";3081;"(03) 9455 3017";"(03) 9455 3027";;;;"PO Box 314";" ";"Heidelberg West";"VIC";3081;;;;;;;;;;;;;;;;;;;;
;;"Robert";"Clark";"Attorney-General; Minister for Finance; ";"robert.clark@parliament.vic.gov.au";"Box Hill";"LIB";;"http://www.robertclark.net/";;;;"24 Rutland Road";;"Box Hill";"VIC";3128;"(03) 9898 6606";"(03) 9890 7180";;;;"Level 26";"121 Exhibition Street";"Melbourne";"VIC";3000;"(03) 8684 1101";;"(03) 8684 1100";;;;;;;;;;;;;;;;;
;"Mr";"Peter";"Crisp";"The Nationals Whip; ";"peter.crisp@parliament.vic.gov.au";"Mildura";"NAT";;"http://www.petercrisp.net.au";;;;"35 Deakin Avenue";;"Mildura";"VIC";3500;"(03) 5021 2828";"(03) 5021 2978";;;;"P.O Box 3225, Mildura, VIC, 3205";" ";;;;;;;;;;;;;;;;;;;;;;;
;"Ms";"Lily";"D'Ambrosio";"Shadow Minister for Consumer Protection; Shadow Minister for Energy; Shadow Minister for the Cost of Living; Shadow Minister for the Suburbs; ";"lily.d'ambrosio@parliament.vic.gov.au";"Mill Park";"ALP";;;;;;"6 May Road";;"Lalor";"VIC";3075;"(03) 9465 9033";"(03) 9464 1650";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Hugh";"Delahunty";"Minister for Sport and Recreation; Minister for Veterans' Affairs; ";"hugh.delahunty@parliament.vic.gov.au";"Lowan";"NAT";;;;;;"114 Firebrace Street";;"Horsham";"VIC";3400;"(03) 5382 0097";"(03) 5381 1177";;;;"44 Gray Street";;"Hamilton";"VIC";3300;"(03) 5571 9800";;"(03) 9096 8830";2;1;"PO Box 41";;"Horsham";"VIC";3402;"(03) 9096 3611";;;2;0;"Level 22";"50 Lonsdale Street";"Melbourne";"VIC";3000
;;"Martin";"Dixon";"Minister for Education; ";"martin.dixon@parliament.vic.gov.au";"Nepean";"LIB";;"http://www.martindixon.org";;;;"Shop 1, McCrae Plaza";"739 Point Nepean Road";"McCrae";"VIC";3938;"(03) 5986 6661";"(03) 5981 1360";;;;"P.O Box 250";;"McCrae";"VIC";3938;"(03) 9637 3196";;"(03) 9637 2680";;;;;;;;;;;;;;;;;
;"Mr";"Luke";"Donnellan";"Shadow Minister for Roads; Shadow Minister for Road Safety and the TAC; ";"luke.donnellan@parliament.vic.gov.au";"Narre Warren North";"ALP";;"http://www.lukedonnellan.com";;;;"Shop 91, Endeavour Hills Shopping Centre";"Cnr Heatherton Road & Matthew Flinders Avenue";"Endeavour Hills";"VIC";3802;"(03) 9706 0566";"(03) 9706 0388";;" ";;"PO Box 126";;"Endeavour Hills";"VIC";3802;;;;;;;;;;;;;;;;;;;;
;"Ms";"Jo";"Duncan";;"joanne.duncan@parliament.vic.gov.au";"Macedon";"ALP";;"http://www.joanneduncan.com.au/";;;;"Shop 14, Nexus Centre";"9 Goode Street";"Gisborne";"VIC";3437;"(03) 5428 2138";"(03) 5428 2919";;" ";;"PO Box 39";;"Gisborne";"VIC";3437;;;;;;;;;;;;;;;;;;;;
;"Ms";"Maree";"Edwards";;"maree.edwards@parliament.vic.gov.au";"Bendigo West";"ALP";;;;;;"8 Panton Street";;"Golden Square";"VIC";3555;"(03) 5444 4125";"(03) 5441 8140";;;;"PO Box 155";" ";"Golden Square";"VIC";3555;;;;;;;;;;;;;;;;;;;;
;"Mr";"John";"Eren";"Shadow Minister for Sport and Recreation; Shadow Minister for Volunteers; ";"john.eren@parliament.vic.gov.au";"Lara";"ALP";;;;;;"1st Floor, Corio Village Centre";"Bacchus Marsh Road";"Corio";"VIC";3214;"(03) 5275 3898";"(03) 5275 3472";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Martin";"Foley";"Parliamentary Secretary to the Shadow Ministers for Environment and Planning; ";"martin.foley@parliament.vic.gov.au";"Albert Park";"ALP";;"http://www.martinfoley.com.au";;;;"46 Rouse Street";;"Port Melbourne";"VIC";3207;"(03) 9646 7173";"(03) 9646 8737";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Ms";"Christine";"Fyffe";"Deputy Speaker of the Legislative Assembly; ";"christine.fyffe@parliament.vic.gov.au";"Evelyn";"LIB";;"http://www.christinefyffe.com.au";;;;"143 Main Street";;"Lilydale";"VIC";3140;"(03) 9735 3208";"(03) 9735 3697";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Ms";"Jane";"Garrett";"Parliamentary Secretary to the Shadow Minister for Police and Emergency Services; ";"jane.garrett@parliament.vic.gov.au";"Brunswick";"ALP";;;;;;"Suite 1";"31 Nicholson Street";"Brunswick East";"VIC";3057;"(03) 9384 1241";"(03) 9384 0481";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Michael";"Gidley";;"michael.gidley@parliament.vic.gov.au";"Mount Waverley";"LIB";;"http://www.michaelgidley.com.au";;;;"Suite 1";"40 Montclair Avenue";"Glen Waverley";"VIC";3150;"(03) 9561 0511";"(03) 9561 5266";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Ms";"Judith";"Graley";"Parliamentary Secretary to the Leader of the Opposition; ";"judith.graley@parliament.vic.gov.au";"Narre Warren South";"ALP";;;;;;"Suite 4";"418 Princes Highway";"Narre Warren";"VIC";3805;"(03) 9704 6055";"(03) 9704 7966";;;;"PO Box 4180";" ";"Narre Warren South";"VIC";3805;;;;;;;;;;;;;;;;;;;;
;"Ms";"Danielle";"Green";"Shadow Minister for Child Safety; Shadow Minister for Disability Services; Shadow Minister for Health Promotion; Shadow Minister for Women; ";"danielle.green@parliament.vic.gov.au";"Yan Yean";"ALP";;"http://daniellegreen.org.au";;;;"Suite 3";"14 Yan Yean Road";"Diamond Creek";"VIC";3089;"(03) 9432 9782";"(03) 9432 9793";;;;"PO Box 376";" ";"Diamond Creek";"VIC";3089;;;;;;;;;;;;;;;;;;;;
;"Ms";"Bronwyn";"Halfpenny";;"bronwyn.halfpenny@parliament.vic.gov.au";"Thomastown";"ALP";;;;;;"274 High Street";;"Thomastown";"VIC";3074;"(03) 9465 7533";"(03) 9465 3656";;;;"PO Box 219";" ";"Thomastown";"VIC";3074;;;;;;;;;;;;;;;;;;;;
;"Mr";"Joe";"Helper";;"joe.helper@parliament.vic.gov.au";"Ripon";"ALP";;;;;;"177 High Street";;"Maryborough";"VIC";3465;"(03) 5461 1255";"(03) 5461 1631";;;;"PO Box 175";" ";"Maryborough";"VIC";3465;;;;;;;;;;;;;;;;;;;;
;;"Jill";"Hennessy";"Shadow Minister for Corrections; Shadow Minister for Crime Prevention; Shadow Minister for the Anti-corruption Commission; Shadow Minister for Women; ";"jill.hennessy@parliament.vic.gov.au";"Altona";"ALP";;"http://www.jillhennessy.com.au";;;;"Suite 603, Level 1, 2 Main Street";"Point Cook Town Centre";"Point Cook";"VIC";3030;"(03) 9395 0221";"(03) 9395 3061";;;;"PO Box 6519";" Point Cook Town Centre";"Point Cook";"VIC";3030;;;;;;;;;;;;;;;;;;;;
;"Mr";"Steve";"Herbert";"Shadow Minister for Higher Education; Shadow Minister for Skills and Apprenticeships; Shadow Minister for the Teaching Profession; ";"steven.herbert@parliament.vic.gov.au";"Eltham";"ALP";;"http://www.steveherbertmp.com.au";;;;"718 Main Road";;"Eltham";"VIC";3095;"(03) 9439 1500";"(03) 9431 0505";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"David";"Hodgett";"Cabinet Secretary; Government Whip; ";"david.hodgett@parliament.vic.gov.au";"Kilsyth";"LIB";;"http://www.davidhodgett.com.au";;;;"60 Main Street";;"Croydon";"VIC";3136;"(03) 9725 3570";"(03) 9725 2907";;;;"Level 1";"1 Treasury Place";"Melbourne";"VIC";3000;"(03) 9092 9704";;"(03) 9651 0122";;;;;;;;;;;;;;;;;
;;"Tim";"Holding";"Shadow Treasurer; Shadow Minister for Industry; ";"timothy.holding@parliament.vic.gov.au";"Lyndhurst";"ALP";;"http://www.timholding.com.au";;;;"Suite 3";"387-389 Springvale Road";"Springvale";"VIC";3171;"(03) 9547 6262";"(03) 9547 2416";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Geoff";"Howard";;"geoff.howard@parliament.vic.gov.au";"Ballarat East";"ALP";;"http://home.vicnet.net.au/~ghoward/";;;;"15 Main Road";;"Ballarat";"VIC";3350;"(03) 5331 7722";"(03) 5332 8487";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Rob";"Hulls (Resigned)";;;"Niddrie";"ALP";;;;;;"473 Keilor Road";;"Niddrie";"VIC";3042;"(03) 9379 5879";"(03) 9379 4434";;;;"PO Box 554";" ";"Niddrie";"VIC";3042;;;;;;;;;;;;;;;;;;;;
;;"Natalie";"Hutchins";"Parliamentary Secretary to the Shadow Minister for Public Transport; ";"natalie.hutchins@parliament.vic.gov.au";"Keilor";"ALP";;"http://www.nataliehutchins.com.au/";;;;"Shop 11, Aquagardens Shopping Centre";"28A Hume Drive";"Sydenham";"VIC";3037;"(03) 9449 1511";"(03) 9449 1922";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Ms";"Marlene";"Kairouz";"Opposition Whip; ";"marlene.kairouz@parliament.vic.gov.au";"Kororoit";"ALP";;;;;;"Shop T54, Brimbank Shopping Centre, Cnr Neale and Station Roads, Deer Park 3023";;;;;"(03) 8361 7133";"(03) 8361 7166";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Andrew";"Katos";;"andrew.katos@parliament.vic.gov.au";"South Barwon";"LIB";;;;;;"152 High Street, Belmont 3216";;;;;"(03) 5244 2288";"(03) 5244 2327";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Sharon";"Knight";;"sharon.knight@parliament.vic.gov.au";"Ballarat West";"ALP";;;;;;"Ground Floor, 17 Lydiard Street North, Ballarat 3350";;;;;"(03) 5331 1003";"(03) 5331 5165";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Nicholas";"Kotsiras";"Minister for Multicultural Affairs and Citizenship; ";"nicholas.kotsiras@parliament.vic.gov.au";"Bulleen";"LIB";;;;;;"Shop 30D, Bulleen Plaza, 101 Manningham Road, Bulleen 3105";;;;;"(03) 9850 7983";"(03) 9852 0059";;;;;"Level 2, 3 Treasury Place, Melbourne, VIC 3000";"(03) 9651 1156";"(03) 9651 2007";;;;;;;;;;;;;;;;;;;;;
;"Mr";"Telmo";"Languiller";;"telmo.languiller@parliament.vic.gov.au";"Derrimut";"ALP";;;;;;"103 Glengala Road, Sunshine West 3020";;;;;"(03) 9311 7886";"(03) 9364 9126";;;;"PO Box 1046, Glengala Road, Sunshine West 3020";" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Hong";"Lim";;"hong.lim@parliament.vic.gov.au";"Clayton";"ALP";;"http://www.honglimmp.com";;;;"Level 1, 1312 Centre Road, Clayton South 3169";;;;;"(03) 9543 6081";"(03) 9562 8872";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Justin";"Madden";"Shadow Minister for Innovation; Shadow Minister for Small Business; Shadow Minister for Tourism and Major Events; ";"justin.madden@parliament.vic.gov.au";"Essendon";"ALP";;;;;;"Suite 1, 28 Shuter Street, Moonee Ponds 3039";;;;;"(03) 9370 7777";"(03) 9326 0483";;;;"PO Box 699, Moonee Ponds, Vic, 3039";" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Tim";"McCurdy";;"tim.mccurdy@parliament.vic.gov.au";"Murray Valley";"NAT";;"http://www.timmcurdy.com.au";;;;"15 Murphy Street, Wangaratta 3677";;;;;"(03) 5721 6155";"(03) 5721 2198";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Frank";"McGuire";"Parliamentary Secretary, Opposition Scrutiny of Government; ";"frank.mcguire@parliament.vic.gov.au";"Broadmeadows";"ALP";;;;;;"145A Wheatsheaf Road, Glenroy 3046";;;;;"(03) 9300 3851";"(03) 9300 3915";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Andrew";"McIntosh";"Minister for Corrections; Minister for Crime Prevention; Minister responsible for the establishment of an anti-corruption commission; ";"andrew.mcintosh@parliament.vic.gov.au";"Kew";"LIB";;"http://www.andrewmcintoshmp.com";;;;"Suite 1, 400 High Street, Kew 3101";;;;;"(03) 9853 2999";"(03) 9853 1299";;;;;"Level 26, 121 Exhibition Street, Melbourne, VIC ";"(03) 8684 0900";"(03) 8684 0980";;;;;;;;;;;;;;;;;;;;;
;"Ms";"Cindy";"McLeish";;"cindy.mcleish@parliament.vic.gov.au";"Seymour";"LIB";;;;;;"Shop 5, 30 Wallis Street, Seymour 3660";;;;;"(03) 5799 2760";"(03) 5799 0488";;;;"PO Box 575, Seymour, 3660";" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"James";"Merlino";"Deputy Leader of the Labor Party; Deputy Leader of the Opposition; Shadow Minister for Education; ";"james.merlino@parliament.vic.gov.au";"Monbulk";"ALP";;"http://www.jamesmerlino.com.au";;;;"1635 Burwood Hwy, Belgrave 3160";;;;;"(03) 9754 5401";"(03) 9754 5427";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Ms";"Elizabeth";"Miller";;"elizabeth.miller@parliament.vic.gov.au";"Bentleigh";"LIB";;"http://www.elizabethmiller.com.au";;;;"723 Centre Road, Bentleigh East 3165";;;;;"(03) 9557 6661";"(03) 9557 8646";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"David";"Morris";"Parliamentary Secretary for Local Government; ";"david.morris@parliament.vic.gov.au";"Mornington";"LIB";;"http://www.davidmorris.org.au";;;;"Shop 1, 321 Main Street, Mornington 3931";;;;;"(03) 5975 4799";"(03) 5975 5175";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Terry";"Mulder";"Minister for Public Transport; Minister for Roads; ";"terence.mulder@parliament.vic.gov.au";"Polwarth";"LIB";;"http://www.terrymulder.com.au";;;;"115A Bromfield Street, Colac 3250";;;;;"(03) 5231 5046";"(03) 5231 5209";;;;;"Level 16, 121 Exhibition Street, Melbourne, VIC 3000";"(03) 9095 4330";"(03) 9095 4483";;;;;;;;;;;;;;;;;;;;;
;"Dr";"Denis";"Napthine";"Minister for Ports; Minister for Major Projects; Minister for Regional Cities; Minister for Racing; ";"denis.napthine@parliament.vic.gov.au";"South-West Coast";"LIB";;"http://www.denisnapthine.com.au";;;;"94 Liebig Street, Warrnambool 3280";;;;;"(03) 5562 8230";"(03) 5562 6145";;;;"PO Box 5075, Warrnambool  3280";"Level 16, 121 Exhibition Street, Melbourne, VIC 3000";"(03) 9095 4170";"(03) 9095 4483";;;;;;;;;;;;;;;;;;;;;
;"Mr";"Don";"Nardella";"Parliamentary Secretary to the Leader of the Opposition; ";"don.nardella@parliament.vic.gov.au";"Melton";"ALP";;;;;;"3 Alexandra Street, Melton 3337";;;;;"(03) 9743 9825";"(03) 9743 1634";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Lisa";"Neville";"Shadow Minister for Environment and Climate Change; Shadow Minister for the Arts; ";"lisa.neville@parliament.vic.gov.au";"Bellarine";"ALP";;;;;;"Shop 1, Newcomb Central, 71 Bellarine Highway, Newcomb 3219";;;;;"(03) 5248 3462";"(03) 5248 5294";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Clem";"Newton-Brown";;"clem.newton-brown@parliament.vic.gov.au";"Prahran";"LIB";;;;;;"94 Chapel Street, Windsor 3181";;;;;"(03) 9981 9501";"(03) 9981 9502";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Wade";"Noonan";"Parliamentary Secretary to the Shadow Minister for Health; ";"wade.noonan@parliament.vic.gov.au";"Williamstown";"ALP";;"http://www.wadenoonan.com.au";;;;"101 Douglas Parade, Williamstown 3016";;;;;"(03) 9399 9022";"(03) 9397 7227";;;;"PO Box 524, Williamstown 3016";" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Russell";"Northe";"Parliamentary Secretary for Small Business; ";"russell.northe@parliament.vic.gov.au";"Morwell";"NAT";;"http://www.russellnorthe.com.au";;;;"66 George Street, Morwell 3840";;;;;"(03) 5133 9088";"(03) 5133 9388";;;;"PO Box 214, Morwell 3840";" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Michael";"O'Brien";"Minister for Gaming; Minister for Consumer Affairs; Minister for Energy and Resources; ";"michael.o'brien@parliament.vic.gov.au";"Malvern";"LIB";;"http://www.michaelobrien.com.au";;;;"313-315 Waverley Road, Malvern East 3145";;;;;"(03) 9576 1850";"(03) 9576 1849";;;;;"Level 22, 1 Spring Street, Melbourne, VIC 3000";"(03) 9938 5963";"(03) 9938 5962";;;;;;;;;;;;;;;;;;;;;
;"Mr";"Tim";"Pallas";"Shadow Minister for Employment; Shadow Minister for Industrial Relations; Shadow Minister for Ports; Shadow Minister for Major Projects and Infrastructure; ";"tim.pallas@parliament.vic.gov.au";"Tarneit";"ALP";;;;;;"36 Station Place, Werribee 3030";;;;;"(03) 9742 6888";"(03) 9742 6866";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"John";"Pandazopoulos";;"john.pandazopoulos@parliament.vic.gov.au";"Dandenong";"ALP";;;;;;"Suite 5, 50 Robinson Street, Dandenong 3175";;;;;"(03) 9793 2000";"(03) 9793 2134";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Jude";"Perera";"Parliamentary Secretary to the Shadow Minister for Multicultural Affairs; ";"jude.perera@parliament.vic.gov.au";"Cranbourne";"ALP";;"http://www.judeperera.com";;;;"157A Sladen Street, Cranbourne 3977";;;;;"(03) 5996 2901";"(03) 5996 7494";;;;"PO Box 5433, Cranbourne 3977";" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Bronwyn";"Pike";;"bronwyn.pike@parliament.vic.gov.au";"Melbourne";"ALP";;"http://www.bronwynpike.com";;;;"146-148 Peel Street, North Melbourne 3051";;;;;"(03) 9328 4637";"(03) 9326 8747";;;;"P.O Box 267, North Melbourne, Victoria, 3051";" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Jeanette";"Powell";"Minister for Local Government; Minister for Aboriginal Affairs; ";"jeanette.powell@parliament.vic.gov.au";"Shepparton";"NAT";;"http://www.jeanettepowell.com.au";;;;"5 Vaughan Street, Shepparton 3630";;;;;"(03) 5831 6944";"(03) 5831 6836";;;;;"Level 17, 8 Nicholson Street, East Melbourne, VIC 3002";"(03) 9637 8938";"(03) 9637 8920";;;;;;;;;;;;;;;;;;;;;
;"Ms";"Fiona";"Richardson";"Shadow Minister for Public Transport; ";"fiona.richardson@parliament.vic.gov.au";"Northcote";"ALP";;;;;;"404 High Street, Northcote 3070";;;;;"(03) 9481 5777";"(03) 9482 1613";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Ms";"Dee";"Ryall";;"dee.ryall@parliament.vic.gov.au";"Mitcham";"LIB";;"http://www.DeeRyall.com.au";;;;"Suite 1, 10-12 Blackburn Road, Blackburn 3130";;;;;"(03) 9878 4113";"(03) 9878 9135";;;;"PO Box 428, Blackburn, Vic 3130";" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Peter";"Ryan";"Deputy Premier; Leader of the Nationals; Minister for Police and Emergency Services; Minister for Bushfire Response; Minister for Regional and Rural Development; ";"peter.ryan@parliament.vic.gov.au";"Gippsland South";"NAT";;"http://www.peterryan.com.au/";;;;"54B Cunninghame Street, Sale 3850";;;;;"(03) 5144 1987";"(03) 5144 7086";;;;"PO Box 145, Sale  3850";"Level 3, 1 Treasury Place, Melbourne, VIC 3002";"(03) 9651 1222";"(03) 9651 1188";;;;;;;;;;;;;;;;;;;;;
;"Mr";"Robin";"Scott";"Shadow Minister for Finance; Shadow Minister for WorkCover; ";"robin.scott@parliament.vic.gov.au";"Preston";"ALP";;;;;;"375 High Street, Preston 3072";;;;;"(03) 9478 5611";"(03) 9470 2323";;;;"PO Box 166, Preston 3072";" ";;;;;;;;;;;;;;;;;;;;;;;
;"Mr";"Geoff";"Shaw";;"geoff.shaw@parliament.vic.gov.au";"Frankston";"LIB";;"http://www.geoffshaw.com.au";;;;"140 Young Street, Frankston 3199";;;;;"03 9783 9822";"03 9783 5930";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Ken";"Smith";"Speaker of the Legislative Assembly; ";"ken.smith@parliament.vic.gov.au";"Bass";"LIB";;;;;;"26 McBride Avenue, Wonthaggi 3995";;;;;"(03) 5672 4755";"(03) 5672 4772";;;;"PO Box 448, Wonthaggi  3995";" ";;;;;;;;;;;;;;;;;;;;;;;
;;"Ryan";"Smith";"Minister for Environment and Climate Change; Minister for Youth Affairs; ";"ryan.smith@parliament.vic.gov.au";"Warrandyte";"LIB";;;;;;"44 New Street, Ringwood 3134";;;;;"(03) 9870 7396";"(03) 9870 9518";;;;;"Level 17, 8 Nicholson Street, Melbourne, VIC 3002";"(03) 9637 8890";"(03) 9637 8880";;;;;;;;;;;;;;;;;;;;;
;"Mr";"David";"Southwick";;"david.southwick@parliament.vic.gov.au";"Caulfield";"LIB";;"http://www.davidsouthwick.com.au";;;;"Suite 1, 193 Balaclava Road, Caulfield North 3161";;;;;"(03) 9527 3866";"(03) 9527 5144";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
;"Dr";"Bill";"Sykes";"Parliamentary Secretary for Primary Industries; ";"bill.sykes@parliament.vic.gov.au";"Benalla";"NAT";;"http://billsykes.com.au";;;;"Shop 2, 55 Carrier Street, Benalla 3672";;;;;"(03) 5762 2100";"(03) 5762 4478";;;;;" ";;;;;;;;;;;;;;;;;;;;;;;
